date,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分,URL
2025/6/30,日本たばこ産業,2914,食料品,0.006291,TOPIX Core30,https://www.openwork.jp/a0910000000FqqJ/analysis/
2025/6/30,セブン＆アイ・ホールディングス,3382,小売業,0.00672,TOPIX Core30,https://www.openwork.jp/a0910000000FqtC/analysis/
2025/6/30,信越化学工業,4063,化学,0.010521,TOPIX Core30,https://www.openwork.jp/a0910000000Fqyw/analysis/
2025/6/30,武田薬品工業,4502,医薬品,0.009774,TOPIX Core30,https://www.openwork.jp/a0910000000Fr38/analysis/
2025/6/30,第一三共,4568,医薬品,0.00767,TOPIX Core30,https://www.openwork.jp/a0910000000Fr3v/analysis/
2025/6/30,リクルートホールディングス,6098,サービス業,0.016061,TOPIX Core30,https://www.openwork.jp/a0910000000G2dV/analysis/
2025/6/30,ダイキン工業,6367,機械,0.005543,TOPIX Core30,https://www.openwork.jp/a0910000000FrLQ/analysis/
2025/6/30,日立製作所,6501,電気機器,0.02674,TOPIX Core30,https://www.openwork.jp/a0910000000FrN0/analysis/
2025/6/30,三菱電機,6503,電気機器,0.00791,TOPIX Core30,https://www.openwork.jp/a0910000000FrN2/analysis/
2025/6/30,ソニーグループ,6758,電気機器,0.031847,TOPIX Core30,https://www.openwork.jp/a0910000000FrQT/analysis/
2025/6/30,キーエンス,6861,電気機器,0.014322,TOPIX Core30,https://www.openwork.jp/a0910000000FrRq/analysis/
2025/6/30,村田製作所,6981,電気機器,0.004696,TOPIX Core30,https://www.openwork.jp/a0910000000FrTN/analysis/
2025/6/30,三菱重工業,7011,機械,0.015781,TOPIX Core30,https://www.openwork.jp/a0910000000FrTf/analysis/
2025/6/30,トヨタ自動車,7203,輸送用機器,0.032801,TOPIX Core30,https://www.openwork.jp/a0910000000FrTr/analysis/
2025/6/30,本田技研工業,7267,輸送用機器,0.008178,TOPIX Core30,https://www.openwork.jp/a0910000000FrWI/analysis/
2025/6/30,ＨＯＹＡ,7741,精密機器,0.008172,TOPIX Core30,https://www.openwork.jp/a0910000000FrcC/analysis/
2025/6/30,任天堂,7974,その他製品,0.021689,TOPIX Core30,https://www.openwork.jp/a0910000000FrgK/analysis/
2025/6/30,伊藤忠商事,8001,卸売業,0.013301,TOPIX Core30,https://www.openwork.jp/a0910000000Frgg/analysis/
2025/6/30,三井物産,8031,卸売業,0.011095,TOPIX Core30,https://www.openwork.jp/a0910000000Frh3/analysis/
2025/6/30,東京エレクトロン,8035,電気機器,0.0145,TOPIX Core30,https://www.openwork.jp/a0910000000Frh5/analysis/
2025/6/30,三菱商事,8058,卸売業,0.013978,TOPIX Core30,https://www.openwork.jp/a0910000000Frj0/analysis/
2025/6/30,三菱ＵＦＪフィナンシャル・グループ,8306,銀行業,0.031008,TOPIX Core30,https://www.openwork.jp/a0910000000FrnW/analysis/
2025/6/30,三井住友フィナンシャルグループ,8316,銀行業,0.018291,TOPIX Core30,https://www.openwork.jp/a0910000000G2Qp/analysis/
2025/6/30,みずほフィナンシャルグループ,8411,銀行業,0.013006,TOPIX Core30,https://www.openwork.jp/a0910000000Hb21/analysis/
