date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2014,クチコミ総合評価,3.17
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2015,クチコミ総合評価,3.15
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2016,クチコミ総合評価,3.14
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2017,クチコミ総合評価,3.2
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2018,クチコミ総合評価,3.26
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2019,クチコミ総合評価,3.31
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2020,クチコミ総合評価,3.5
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2021,クチコミ総合評価,3.41
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2022,クチコミ総合評価,3.32
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2023,クチコミ総合評価,3.32
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2014,待遇面の満足度,3.52
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2015,待遇面の満足度,3.4
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2016,待遇面の満足度,3.37
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2017,待遇面の満足度,3.27
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2018,待遇面の満足度,3.33
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2019,待遇面の満足度,3
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2020,待遇面の満足度,3.12
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2021,待遇面の満足度,2.8
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2022,待遇面の満足度,2.78
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2023,待遇面の満足度,2.78
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2014,社員の士気,2.72
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2015,社員の士気,2.72
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2016,社員の士気,2.74
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2017,社員の士気,2.86
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2018,社員の士気,2.88
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2019,社員の士気,2.95
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2020,社員の士気,3.12
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2021,社員の士気,3.19
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2022,社員の士気,3
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2023,社員の士気,3
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2014,風通しの良さ,3.52
2025/6/30,サカタのタネ,1377,TOPIX Small 1,a0910000000Fqdo,2015,風通しの良さ,3.64
