date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,クチコミ総合評価,3.39
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,クチコミ総合評価,3.38
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,クチコミ総合評価,3.38
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,クチコミ総合評価,3.37
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,クチコミ総合評価,3.33
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,クチコミ総合評価,3.35
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,クチコミ総合評価,3.32
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,クチコミ総合評価,3.41
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,クチコミ総合評価,3.49
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,クチコミ総合評価,3.61
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,待遇面の満足度,3.33
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,待遇面の満足度,3.24
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,待遇面の満足度,3.28
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,待遇面の満足度,3.18
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,待遇面の満足度,3.2
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,待遇面の満足度,3.26
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,待遇面の満足度,3.22
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,待遇面の満足度,3.41
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,待遇面の満足度,3.56
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,待遇面の満足度,3.24
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,社員の士気,3.4
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,社員の士気,3.35
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,社員の士気,3.36
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,社員の士気,3.24
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,社員の士気,3.18
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,社員の士気,3.12
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,社員の士気,3.18
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,社員の士気,3.24
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,社員の士気,3.35
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,社員の士気,3.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,風通しの良さ,2.82
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,風通しの良さ,2.84
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,風通しの良さ,2.84
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,風通しの良さ,2.92
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,風通しの良さ,2.93
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,風通しの良さ,2.95
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,風通しの良さ,2.91
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,風通しの良さ,2.92
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,風通しの良さ,2.91
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,風通しの良さ,2.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,社員の相互尊重,2.95
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,社員の相互尊重,2.97
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,社員の相互尊重,2.98
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,社員の相互尊重,3.02
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,社員の相互尊重,3.09
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,社員の相互尊重,3.12
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,社員の相互尊重,3.05
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,社員の相互尊重,3.09
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,社員の相互尊重,3.12
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,社員の相互尊重,3.24
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,20代成長環境,3.91
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,20代成長環境,3.87
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,20代成長環境,3.85
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,20代成長環境,3.94
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,20代成長環境,3.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,20代成長環境,3.96
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,20代成長環境,3.97
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,20代成長環境,3.97
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,20代成長環境,3.94
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,20代成長環境,4.05
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,人材の長期育成,2.89
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,人材の長期育成,2.92
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,人材の長期育成,2.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,人材の長期育成,2.85
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,人材の長期育成,2.74
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,人材の長期育成,2.73
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,人材の長期育成,2.65
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,人材の長期育成,2.67
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,人材の長期育成,2.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,人材の長期育成,3.88
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2016,法令順守意識,3.33
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2017,法令順守意識,3.43
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2018,法令順守意識,3.45
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2019,法令順守意識,3.44
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2020,法令順守意識,3.47
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2021,法令順守意識,3.53
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2022,法令順守意識,3.51
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2023,法令順守意識,3.57
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2024,法令順守意識,3.48
2025/6/30,長谷工コーポレーション,1808,TOPIX Mid400,a0910000000FqfG,2025,法令順守意識,3.21
