date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2016,クチコミ総合評価,3.9
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2017,クチコミ総合評価,3.93
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2018,クチコミ総合評価,3.93
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2019,クチコミ総合評価,3.88
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2020,クチコミ総合評価,3.87
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2021,クチコミ総合評価,3.9
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2022,クチコミ総合評価,3.81
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2023,クチコミ総合評価,3.87
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2024,クチコミ総合評価,4.08
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2025,クチコミ総合評価,4.02
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2016,待遇面の満足度,4.11
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2017,待遇面の満足度,4.12
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2018,待遇面の満足度,4.14
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2019,待遇面の満足度,4.13
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2020,待遇面の満足度,4.14
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2021,待遇面の満足度,4.11
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2022,待遇面の満足度,4.02
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2023,待遇面の満足度,4.08
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2024,待遇面の満足度,4.16
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2025,待遇面の満足度,3.72
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2016,社員の士気,3.77
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2017,社員の士気,3.77
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2018,社員の士気,3.75
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2019,社員の士気,3.7
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2020,社員の士気,3.72
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2021,社員の士気,3.76
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2022,社員の士気,3.7
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2023,社員の士気,3.78
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2024,社員の士気,3.97
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2025,社員の士気,4.08
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2016,風通しの良さ,3.43
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2017,風通しの良さ,3.45
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2018,風通しの良さ,3.4
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2019,風通しの良さ,3.31
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2020,風通しの良さ,3.29
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2021,風通しの良さ,3.31
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2022,風通しの良さ,3.21
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2023,風通しの良さ,3.19
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2024,風通しの良さ,3.45
2025/6/30,鹿島建設,1812,TOPIX Mid400,a0910000000FqfJ,2025,風通しの良さ,3.59
