date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2016,クチコミ総合評価,3.42
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2017,クチコミ総合評価,3.43
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2018,クチコミ総合評価,3.36
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2019,クチコミ総合評価,3.34
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2020,クチコミ総合評価,3.37
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2021,クチコミ総合評価,3.4
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2022,クチコミ総合評価,3.37
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2023,クチコミ総合評価,3.53
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2024,クチコミ総合評価,3.84
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2025,クチコミ総合評価,4.2
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2016,待遇面の満足度,3.18
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2017,待遇面の満足度,3.24
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2018,待遇面の満足度,3.29
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2019,待遇面の満足度,3.25
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2020,待遇面の満足度,3.3
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2021,待遇面の満足度,3.41
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2022,待遇面の満足度,3.43
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2023,待遇面の満足度,3.52
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2024,待遇面の満足度,3.97
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2025,待遇面の満足度,3.88
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2016,社員の士気,3.22
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2017,社員の士気,3.24
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2018,社員の士気,3.15
2025/6/30,西松建設,1820,TOPIX Mid400,a0910000000FqfP,2019,社員の士気,3.18
