date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2016,クチコミ総合評価,3.53
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2017,クチコミ総合評価,3.57
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2018,クチコミ総合評価,3.49
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2019,クチコミ総合評価,3.43
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2020,クチコミ総合評価,3.38
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2021,クチコミ総合評価,3.37
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2022,クチコミ総合評価,3.38
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2023,クチコミ総合評価,3.32
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2024,クチコミ総合評価,3.4
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2025,クチコミ総合評価,3.79
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2016,待遇面の満足度,4.01
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2017,待遇面の満足度,4.04
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2018,待遇面の満足度,4.02
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2019,待遇面の満足度,3.92
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2020,待遇面の満足度,3.8
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2021,待遇面の満足度,3.7
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2022,待遇面の満足度,3.67
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2023,待遇面の満足度,3.55
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2024,待遇面の満足度,3.62
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2025,待遇面の満足度,4.08
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2016,社員の士気,3.23
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2017,社員の士気,3.26
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2018,社員の士気,3.13
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2019,社員の士気,3.04
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2020,社員の士気,2.98
2025/6/30,住友林業,1911,TOPIX Mid400,a0910000000FqgO,2021,社員の士気,2.99
