date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,クチコミ総合評価,3.24
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,クチコミ総合評価,3.2
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,クチコミ総合評価,3.23
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,クチコミ総合評価,3.26
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,クチコミ総合評価,3.31
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,クチコミ総合評価,3.31
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2022,クチコミ総合評価,3.37
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2023,クチコミ総合評価,3.42
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2024,クチコミ総合評価,3.5
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2025,クチコミ総合評価,3.45
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,待遇面の満足度,3.9
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,待遇面の満足度,3.88
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,待遇面の満足度,3.96
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,待遇面の満足度,4.01
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,待遇面の満足度,4.03
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,待遇面の満足度,4.02
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2022,待遇面の満足度,4.12
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2023,待遇面の満足度,4.15
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2024,待遇面の満足度,4.23
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2025,待遇面の満足度,4.1
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,社員の士気,2.84
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,社員の士気,2.79
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,社員の士気,2.8
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,社員の士気,2.82
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,社員の士気,2.88
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,社員の士気,2.89
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2022,社員の士気,2.92
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2023,社員の士気,2.97
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2024,社員の士気,3.01
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2025,社員の士気,3
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,風通しの良さ,2.56
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,風通しの良さ,2.56
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,風通しの良さ,2.59
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,風通しの良さ,2.61
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,風通しの良さ,2.63
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,風通しの良さ,2.61
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2022,風通しの良さ,2.66
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2023,風通しの良さ,2.7
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2024,風通しの良さ,2.77
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2025,風通しの良さ,2.79
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,社員の相互尊重,2.48
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,社員の相互尊重,2.44
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,社員の相互尊重,2.46
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,社員の相互尊重,2.48
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,社員の相互尊重,2.52
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,社員の相互尊重,2.57
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2022,社員の相互尊重,2.57
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2023,社員の相互尊重,2.59
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2024,社員の相互尊重,2.66
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2025,社員の相互尊重,2.57
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2016,20代成長環境,3.14
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2017,20代成長環境,3
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2018,20代成長環境,3
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2019,20代成長環境,3.01
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2020,20代成長環境,3.04
2025/6/30,大和ハウス工業,1925,TOPIX Large70,a0910000000FqgV,2021,20代成長環境,2.99
