date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,クチコミ総合評価,3.43
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,クチコミ総合評価,3.46
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,クチコミ総合評価,3.49
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,クチコミ総合評価,3.54
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,クチコミ総合評価,3.56
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,クチコミ総合評価,3.59
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,クチコミ総合評価,3.63
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,クチコミ総合評価,3.68
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,クチコミ総合評価,3.7
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,クチコミ総合評価,3.89
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,待遇面の満足度,3.6
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,待遇面の満足度,3.66
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,待遇面の満足度,3.71
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,待遇面の満足度,3.73
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,待遇面の満足度,3.75
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,待遇面の満足度,3.79
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,待遇面の満足度,3.83
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,待遇面の満足度,3.78
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,待遇面の満足度,3.8
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,待遇面の満足度,3.95
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,社員の士気,3.05
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,社員の士気,3.12
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,社員の士気,3.15
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,社員の士気,3.22
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,社員の士気,3.26
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,社員の士気,3.36
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,社員の士気,3.4
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,社員の士気,3.44
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,社員の士気,3.49
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,社員の士気,3.72
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,風通しの良さ,2.85
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,風通しの良さ,2.9
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,風通しの良さ,2.96
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,風通しの良さ,2.98
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,風通しの良さ,3.02
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,風通しの良さ,3
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,風通しの良さ,3.07
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,風通しの良さ,3.17
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,風通しの良さ,3.25
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,風通しの良さ,3.52
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,社員の相互尊重,2.87
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,社員の相互尊重,2.91
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,社員の相互尊重,2.91
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,社員の相互尊重,2.97
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,社員の相互尊重,3
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,社員の相互尊重,3
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,社員の相互尊重,3.05
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,社員の相互尊重,3.08
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,社員の相互尊重,3.02
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,社員の相互尊重,3.24
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,20代成長環境,3.09
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,20代成長環境,3.08
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,20代成長環境,3.09
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,20代成長環境,3.15
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,20代成長環境,3.11
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,20代成長環境,3.13
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,20代成長環境,3.13
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,20代成長環境,3.18
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,20代成長環境,3.13
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,20代成長環境,3.21
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,人材の長期育成,2.73
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,人材の長期育成,2.78
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,人材の長期育成,2.86
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,人材の長期育成,2.94
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,人材の長期育成,2.97
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,人材の長期育成,3
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,人材の長期育成,2.99
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,人材の長期育成,3.07
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,人材の長期育成,3.18
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,人材の長期育成,3.26
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,法令順守意識,4.24
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,法令順守意識,4.31
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,法令順守意識,4.37
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,法令順守意識,4.42
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,法令順守意識,4.44
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,法令順守意識,4.44
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2022,法令順守意識,4.41
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2023,法令順守意識,4.37
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2024,法令順守意識,4.34
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2025,法令順守意識,4.41
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2016,人事評価の適正感,4.17
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2017,人事評価の適正感,4.1
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2018,人事評価の適正感,4.03
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2019,人事評価の適正感,4.02
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2020,人事評価の適正感,3.98
2025/6/30,積水ハウス,1928,TOPIX Large70,a0910000000FqgX,2021,人事評価の適正感,4.07
