date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2016,クチコミ総合評価,2.91
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2017,クチコミ総合評価,2.92
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2018,クチコミ総合評価,2.91
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2019,クチコミ総合評価,2.89
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2020,クチコミ総合評価,2.88
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2021,クチコミ総合評価,2.91
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2022,クチコミ総合評価,2.9
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2023,クチコミ総合評価,2.88
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2024,クチコミ総合評価,3
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2025,クチコミ総合評価,3.01
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2016,待遇面の満足度,2.72
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2017,待遇面の満足度,2.74
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2018,待遇面の満足度,2.76
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2019,待遇面の満足度,2.72
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2020,待遇面の満足度,2.64
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2021,待遇面の満足度,2.63
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2022,待遇面の満足度,2.65
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2023,待遇面の満足度,2.7
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2024,待遇面の満足度,2.85
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2025,待遇面の満足度,3
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2016,社員の士気,2.74
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2017,社員の士気,2.76
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2018,社員の士気,2.76
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2019,社員の士気,2.69
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2020,社員の士気,2.65
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2021,社員の士気,2.68
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2022,社員の士気,2.68
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2023,社員の士気,2.71
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2024,社員の士気,2.62
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2025,社員の士気,2.67
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2016,風通しの良さ,2.95
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2017,風通しの良さ,2.94
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2018,風通しの良さ,2.92
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2019,風通しの良さ,2.92
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2020,風通しの良さ,2.91
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2021,風通しの良さ,2.91
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2022,風通しの良さ,2.92
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2023,風通しの良さ,2.86
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2024,風通しの良さ,2.96
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2025,風通しの良さ,4.11
2025/6/30,関電工,1942,TOPIX Mid400,a0910000000Fqgl,2016,社員の相互尊重,2.95
