date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,クチコミ総合評価,2.96
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2017,クチコミ総合評価,2.91
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2018,クチコミ総合評価,2.9
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2019,クチコミ総合評価,2.86
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2020,クチコミ総合評価,2.78
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2021,クチコミ総合評価,2.8
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2022,クチコミ総合評価,2.87
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2023,クチコミ総合評価,2.9
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2024,クチコミ総合評価,2.96
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2025,クチコミ総合評価,3.15
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,待遇面の満足度,3.13
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2017,待遇面の満足度,3.18
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2018,待遇面の満足度,3.21
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2019,待遇面の満足度,3.07
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2020,待遇面の満足度,2.97
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2021,待遇面の満足度,2.99
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2022,待遇面の満足度,2.98
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2023,待遇面の満足度,3.18
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2024,待遇面の満足度,3.08
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2025,待遇面の満足度,2.88
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,社員の士気,2.75
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2017,社員の士気,2.68
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2018,社員の士気,2.67
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2019,社員の士気,2.63
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2020,社員の士気,2.6
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2021,社員の士気,2.72
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2022,社員の士気,2.81
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2023,社員の士気,2.79
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2024,社員の士気,2.79
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2025,社員の士気,3.24
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,風通しの良さ,2.64
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2017,風通しの良さ,2.65
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2018,風通しの良さ,2.66
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2019,風通しの良さ,2.73
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2020,風通しの良さ,2.59
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2021,風通しの良さ,2.65
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2022,風通しの良さ,2.76
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2023,風通しの良さ,2.72
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2024,風通しの良さ,2.83
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2025,風通しの良さ,3.24
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,社員の相互尊重,2.97
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2017,社員の相互尊重,2.94
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2018,社員の相互尊重,2.92
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2019,社員の相互尊重,2.94
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2020,社員の相互尊重,2.84
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2021,社員の相互尊重,2.82
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2022,社員の相互尊重,2.95
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2023,社員の相互尊重,2.95
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2024,社員の相互尊重,3.39
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2025,社員の相互尊重,3.88
2025/6/30,九電工,1959,TOPIX Mid400,a0910000000Fqgz,2016,20代成長環境,3.24
