date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2016,クチコミ総合評価,3.15
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2017,クチコミ総合評価,3.08
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2018,クチコミ総合評価,3.07
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2019,クチコミ総合評価,3.11
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2020,クチコミ総合評価,2.99
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2021,クチコミ総合評価,3.11
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2022,クチコミ総合評価,3.14
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2023,クチコミ総合評価,3.65
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2024,クチコミ総合評価,3.51
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2025,クチコミ総合評価,2.98
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2016,待遇面の満足度,3.26
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2017,待遇面の満足度,3.15
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2018,待遇面の満足度,3
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2019,待遇面の満足度,2.93
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2020,待遇面の満足度,2.96
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2021,待遇面の満足度,2.98
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2022,待遇面の満足度,3.06
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2023,待遇面の満足度,3.74
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2024,待遇面の満足度,3.66
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2025,待遇面の満足度,3
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2016,社員の士気,2.84
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2017,社員の士気,2.81
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2018,社員の士気,2.86
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2019,社員の士気,2.92
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2020,社員の士気,2.85
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2021,社員の士気,2.85
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2022,社員の士気,2.78
2025/6/30,高砂熱学工業,1969,TOPIX Mid400,a0910000000Fqh8,2023,社員の士気,3.12
