date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2016,クチコミ総合評価,3.89
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2017,クチコミ総合評価,3.82
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2018,クチコミ総合評価,3.79
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2019,クチコミ総合評価,3.8
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2020,クチコミ総合評価,3.79
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2021,クチコミ総合評価,3.77
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2022,クチコミ総合評価,3.68
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2023,クチコミ総合評価,3.75
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2024,クチコミ総合評価,3.87
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2025,クチコミ総合評価,3.93
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2016,待遇面の満足度,4.04
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2017,待遇面の満足度,3.95
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2018,待遇面の満足度,3.88
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2019,待遇面の満足度,3.8
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2020,待遇面の満足度,3.73
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2021,待遇面の満足度,3.64
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2022,待遇面の満足度,3.43
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2023,待遇面の満足度,3.37
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2024,待遇面の満足度,3.54
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2025,待遇面の満足度,3.83
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2016,社員の士気,4.5
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2017,社員の士気,4.58
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2018,社員の士気,4.56
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2019,社員の士気,4.6
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2020,社員の士気,4.6
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2021,社員の士気,4.55
2025/6/30,日本Ｍ＆Ａセンターホールディングス,2127,TOPIX Mid400,a0910000000Fqi0,2022,社員の士気,4.35
