date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2015,クチコミ総合評価,3.68
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2016,クチコミ総合評価,3.62
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2017,クチコミ総合評価,3.61
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2018,クチコミ総合評価,3.55
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2019,クチコミ総合評価,3.63
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2020,クチコミ総合評価,3.66
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2021,クチコミ総合評価,3.56
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2022,クチコミ総合評価,3.55
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2023,クチコミ総合評価,3.62
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2024,クチコミ総合評価,3.62
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2015,待遇面の満足度,3.87
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2016,待遇面の満足度,3.72
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2017,待遇面の満足度,3.81
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2018,待遇面の満足度,3.76
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2019,待遇面の満足度,3.77
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2020,待遇面の満足度,3.79
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2021,待遇面の満足度,3.61
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2022,待遇面の満足度,3.5
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2023,待遇面の満足度,3.49
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2024,待遇面の満足度,3.53
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2015,社員の士気,2.96
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2016,社員の士気,2.92
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2017,社員の士気,2.93
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2018,社員の士気,2.91
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2019,社員の士気,2.93
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2020,社員の士気,2.98
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2021,社員の士気,3.06
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2022,社員の士気,3.13
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2023,社員の士気,3.2
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2024,社員の士気,3.41
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2015,風通しの良さ,4.09
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2016,風通しの良さ,4.08
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2017,風通しの良さ,4.1
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2018,風通しの良さ,4.07
2025/6/30,森永製菓,2201,TOPIX Mid400,a0910000000FqiR,2019,風通しの良さ,4.17
