date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2016,クチコミ総合評価,2.66
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2017,クチコミ総合評価,2.66
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2018,クチコミ総合評価,2.62
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2019,クチコミ総合評価,2.61
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2020,クチコミ総合評価,2.63
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2021,クチコミ総合評価,2.64
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2022,クチコミ総合評価,2.63
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2023,クチコミ総合評価,2.66
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2024,クチコミ総合評価,2.61
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2025,クチコミ総合評価,2.6
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2016,待遇面の満足度,2.76
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2017,待遇面の満足度,2.76
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2018,待遇面の満足度,2.72
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2019,待遇面の満足度,2.68
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2020,待遇面の満足度,2.71
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2021,待遇面の満足度,2.71
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2022,待遇面の満足度,2.71
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2023,待遇面の満足度,2.73
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2024,待遇面の満足度,2.69
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2025,待遇面の満足度,2.53
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2016,社員の士気,2.41
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2017,社員の士気,2.39
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2018,社員の士気,2.35
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2019,社員の士気,2.33
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2020,社員の士気,2.37
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2021,社員の士気,2.39
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2022,社員の士気,2.38
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2023,社員の士気,2.42
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2024,社員の士気,2.38
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2025,社員の士気,2.29
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2016,風通しの良さ,2.51
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2017,風通しの良さ,2.51
2025/6/30,山崎製パン,2212,TOPIX Mid400,a0910000000FqiZ,2018,風通しの良さ,2.51
