date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,クチコミ総合評価,2.82
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,クチコミ総合評価,2.86
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,クチコミ総合評価,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,クチコミ総合評価,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,クチコミ総合評価,3.32
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,クチコミ総合評価,3.32
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,クチコミ総合評価,3.47
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,クチコミ総合評価,3.49
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,待遇面の満足度,2.87
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,待遇面の満足度,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,待遇面の満足度,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,待遇面の満足度,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,待遇面の満足度,3.17
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,待遇面の満足度,3.17
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,待遇面の満足度,3.21
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,待遇面の満足度,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,社員の士気,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,社員の士気,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,社員の士気,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,社員の士気,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,社員の士気,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,社員の士気,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,社員の士気,3.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,社員の士気,3.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,風通しの良さ,2.74
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,風通しの良さ,2.82
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,風通しの良さ,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,風通しの良さ,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,風通しの良さ,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,風通しの良さ,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,風通しの良さ,3.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,風通しの良さ,3.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,社員の相互尊重,2.87
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,社員の相互尊重,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,社員の相互尊重,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,社員の相互尊重,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,社員の相互尊重,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,社員の相互尊重,3.46
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,社員の相互尊重,3.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,社員の相互尊重,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,20代成長環境,2.81
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,20代成長環境,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,20代成長環境,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,20代成長環境,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,20代成長環境,3.17
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,20代成長環境,3.17
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,20代成長環境,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,20代成長環境,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,人材の長期育成,2.68
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,人材の長期育成,2.73
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,人材の長期育成,2.77
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,人材の長期育成,2.77
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,人材の長期育成,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,人材の長期育成,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,人材の長期育成,2.89
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,人材の長期育成,2.77
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,法令順守意識,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,法令順守意識,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,法令順守意識,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,法令順守意識,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,法令順守意識,3.32
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,法令順守意識,3.32
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,法令順守意識,3.55
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,法令順守意識,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,人事評価の適正感,2.61
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,人事評価の適正感,2.55
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,人事評価の適正感,2.66
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,人事評価の適正感,2.66
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,人事評価の適正感,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,人事評価の適正感,2.91
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,人事評価の適正感,3
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,人事評価の適正感,3.39
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,有給休暇消化率,50.71
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,有給休暇消化率,54
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,有給休暇消化率,42.5
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,有給休暇消化率,42.5
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,有給休暇消化率,54
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,有給休暇消化率,54
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,有給休暇消化率,65
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,有給休暇消化率,30
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2014,残業時間(月間),30.71
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2015,残業時間(月間),29
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2016,残業時間(月間),28.75
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2017,残業時間(月間),28.75
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2018,残業時間(月間),29
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2019,残業時間(月間),29
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2020,残業時間(月間),26.25
2025/6/30,寿スピリッツ,2222,TOPIX Mid400,a0910000000Fqig,2021,残業時間(月間),35
