date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2016,クチコミ総合評価,3.34
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2017,クチコミ総合評価,3.37
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2018,クチコミ総合評価,3.32
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2019,クチコミ総合評価,3.25
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2020,クチコミ総合評価,3.37
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2021,クチコミ総合評価,3.53
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2022,クチコミ総合評価,3.7
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2023,クチコミ総合評価,4.01
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2024,クチコミ総合評価,3.84
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2025,クチコミ総合評価,3.72
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2016,待遇面の満足度,3.64
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2017,待遇面の満足度,3.69
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2018,待遇面の満足度,3.5
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2019,待遇面の満足度,3.33
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2020,待遇面の満足度,3.37
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2021,待遇面の満足度,3.38
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2022,待遇面の満足度,3.38
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2023,待遇面の満足度,3.49
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2024,待遇面の満足度,3.58
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2025,待遇面の満足度,3.77
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2016,社員の士気,2.88
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2017,社員の士気,2.92
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2018,社員の士気,3
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2019,社員の士気,2.93
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2020,社員の士気,2.97
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2021,社員の士気,2.97
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2022,社員の士気,3.16
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2023,社員の士気,3.67
2025/6/30,カルビー,2229,TOPIX Mid400,a0C3000000Gz1D5,2024,社員の士気,3.36
