date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2016,クチコミ総合評価,3.14
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2017,クチコミ総合評価,3.1
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2018,クチコミ総合評価,3.08
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2019,クチコミ総合評価,3.09
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2020,クチコミ総合評価,3.11
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2021,クチコミ総合評価,3.1
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2022,クチコミ総合評価,3.01
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2023,クチコミ総合評価,3.05
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2024,クチコミ総合評価,3.03
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2025,クチコミ総合評価,2.86
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2016,待遇面の満足度,3.31
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2017,待遇面の満足度,3.22
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2018,待遇面の満足度,3.13
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2019,待遇面の満足度,3.11
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2020,待遇面の満足度,3.13
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2021,待遇面の満足度,3.15
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2022,待遇面の満足度,2.98
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2023,待遇面の満足度,2.97
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2024,待遇面の満足度,2.88
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2025,待遇面の満足度,3.38
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2016,社員の士気,2.69
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2017,社員の士気,2.69
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2018,社員の士気,2.64
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2019,社員の士気,2.65
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2020,社員の士気,2.66
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2021,社員の士気,2.63
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2022,社員の士気,2.57
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2023,社員の士気,2.6
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2024,社員の士気,2.6
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2025,社員の士気,2.6
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2016,風通しの良さ,3.06
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2017,風通しの良さ,3
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2018,風通しの良さ,2.99
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2019,風通しの良さ,3.04
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2020,風通しの良さ,3.1
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2021,風通しの良さ,3.05
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2022,風通しの良さ,2.99
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2023,風通しの良さ,3.08
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2024,風通しの良さ,3
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2025,風通しの良さ,2.8
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2016,社員の相互尊重,3.26
2025/6/30,森永乳業,2264,TOPIX Mid400,a0910000000Fqin,2017,社員の相互尊重,3.22
