date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,クチコミ総合評価,3.24
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,クチコミ総合評価,3.21
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,クチコミ総合評価,3.21
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,クチコミ総合評価,3.17
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,クチコミ総合評価,3.16
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,クチコミ総合評価,3.13
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,クチコミ総合評価,3.15
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,クチコミ総合評価,3.12
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,クチコミ総合評価,3.16
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,クチコミ総合評価,3.59
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,待遇面の満足度,3.77
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,待遇面の満足度,3.74
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,待遇面の満足度,3.75
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,待遇面の満足度,3.66
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,待遇面の満足度,3.69
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,待遇面の満足度,3.74
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,待遇面の満足度,3.83
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,待遇面の満足度,3.71
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,待遇面の満足度,3.76
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,待遇面の満足度,4.25
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,社員の士気,2.86
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,社員の士気,2.84
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,社員の士気,2.83
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,社員の士気,2.79
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,社員の士気,2.79
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,社員の士気,2.7
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,社員の士気,2.69
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,社員の士気,2.62
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,社員の士気,2.67
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,社員の士気,3.42
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,風通しの良さ,2.92
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,風通しの良さ,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,風通しの良さ,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,風通しの良さ,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,風通しの良さ,2.86
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,風通しの良さ,2.86
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,風通しの良さ,2.91
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,風通しの良さ,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,風通しの良さ,3
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,風通しの良さ,3.42
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,社員の相互尊重,3.08
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,社員の相互尊重,3
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,社員の相互尊重,3.06
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,社員の相互尊重,3.06
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,社員の相互尊重,2.98
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,社員の相互尊重,2.95
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,社員の相互尊重,2.98
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,社員の相互尊重,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,社員の相互尊重,2.88
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,社員の相互尊重,3.42
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,20代成長環境,2.69
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,20代成長環境,2.67
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,20代成長環境,2.63
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,20代成長環境,2.59
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,20代成長環境,2.6
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,20代成長環境,2.55
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2022,20代成長環境,2.56
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2023,20代成長環境,2.55
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2024,20代成長環境,2.64
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2025,20代成長環境,2.89
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2016,人材の長期育成,2.84
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2017,人材の長期育成,2.85
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2018,人材の長期育成,2.84
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2019,人材の長期育成,2.72
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2020,人材の長期育成,2.7
2025/6/30,明治ホールディングス,2269,TOPIX Mid400,a0910000000Fqil,2021,人材の長期育成,2.64
