date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,クチコミ総合評価,3.91
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,クチコミ総合評価,3.98
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,クチコミ総合評価,3.96
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,クチコミ総合評価,4.02
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,クチコミ総合評価,4.06
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2021,クチコミ総合評価,4.18
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2022,クチコミ総合評価,4.27
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2023,クチコミ総合評価,4.31
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2024,クチコミ総合評価,4.36
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2025,クチコミ総合評価,4.43
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,待遇面の満足度,4.09
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,待遇面の満足度,4.11
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,待遇面の満足度,4.09
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,待遇面の満足度,4.11
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,待遇面の満足度,4.18
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2021,待遇面の満足度,4.24
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2022,待遇面の満足度,4.23
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2023,待遇面の満足度,4.22
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2024,待遇面の満足度,4.24
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2025,待遇面の満足度,4.29
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,社員の士気,3.58
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,社員の士気,3.59
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,社員の士気,3.55
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,社員の士気,3.57
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,社員の士気,3.55
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2021,社員の士気,3.68
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2022,社員の士気,3.76
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2023,社員の士気,3.87
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2024,社員の士気,3.92
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2025,社員の士気,3.75
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,風通しの良さ,3.6
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,風通しの良さ,3.65
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,風通しの良さ,3.65
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,風通しの良さ,3.74
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,風通しの良さ,3.81
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2021,風通しの良さ,3.92
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2022,風通しの良さ,3.97
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2023,風通しの良さ,4.03
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2024,風通しの良さ,4.22
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2025,風通しの良さ,4.4
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,社員の相互尊重,3.68
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,社員の相互尊重,3.79
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,社員の相互尊重,3.85
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,社員の相互尊重,3.92
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,社員の相互尊重,4.01
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2021,社員の相互尊重,4.16
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2022,社員の相互尊重,4.25
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2023,社員の相互尊重,4.3
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2024,社員の相互尊重,4.27
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2025,社員の相互尊重,4.29
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2016,20代成長環境,3.75
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2017,20代成長環境,3.78
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2018,20代成長環境,3.71
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2019,20代成長環境,3.8
2025/6/30,日鉄ソリューションズ,2327,TOPIX Mid400,a0910000000FqjM,2020,20代成長環境,3.81
