date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2016,クチコミ総合評価,3.21
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2017,クチコミ総合評価,3.24
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2018,クチコミ総合評価,3.27
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2019,クチコミ総合評価,3.34
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2020,クチコミ総合評価,3.34
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2021,クチコミ総合評価,3.57
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2022,クチコミ総合評価,3.73
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2023,クチコミ総合評価,3.67
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2024,クチコミ総合評価,3.66
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2025,クチコミ総合評価,3.76
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2016,待遇面の満足度,3.16
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2017,待遇面の満足度,3.19
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2018,待遇面の満足度,3.1
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2019,待遇面の満足度,3.03
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2020,待遇面の満足度,2.91
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2021,待遇面の満足度,2.97
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2022,待遇面の満足度,3.09
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2023,待遇面の満足度,2.99
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2024,待遇面の満足度,2.94
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2025,待遇面の満足度,2.89
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2016,社員の士気,2.93
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2017,社員の士気,2.98
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2018,社員の士気,3.05
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2019,社員の士気,3.08
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2020,社員の士気,3.02
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2021,社員の士気,3.19
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2022,社員の士気,3.38
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2023,社員の士気,3.34
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2024,社員の士気,3.34
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2025,社員の士気,3.49
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2016,風通しの良さ,3.4
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2017,風通しの良さ,3.33
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2018,風通しの良さ,3.4
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2019,風通しの良さ,3.66
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2020,風通しの良さ,3.77
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2021,風通しの良さ,3.93
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2022,風通しの良さ,3.99
2025/6/30,カカクコム,2371,TOPIX Mid400,a0910000000Fqjr,2023,風通しの良さ,3.97
