date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,クチコミ総合評価,3.68
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,クチコミ総合評価,3.48
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,クチコミ総合評価,3.36
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,クチコミ総合評価,3.6
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,クチコミ総合評価,3.74
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,クチコミ総合評価,3.76
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,クチコミ総合評価,3.71
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,クチコミ総合評価,3.74
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2024,クチコミ総合評価,3.55
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2025,クチコミ総合評価,3.51
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,待遇面の満足度,2.67
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,待遇面の満足度,2.57
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,待遇面の満足度,2.52
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,待遇面の満足度,2.54
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,待遇面の満足度,2.67
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,待遇面の満足度,2.66
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,待遇面の満足度,2.67
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,待遇面の満足度,2.7
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2024,待遇面の満足度,2.44
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2025,待遇面の満足度,2.19
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,社員の士気,3.84
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,社員の士気,3.6
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,社員の士気,3.45
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,社員の士気,3.84
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,社員の士気,3.97
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,社員の士気,3.97
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,社員の士気,3.77
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,社員の士気,3.79
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2024,社員の士気,3.36
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2025,社員の士気,3.73
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,風通しの良さ,4.12
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,風通しの良さ,4.03
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,風通しの良さ,3.86
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,風通しの良さ,4.13
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,風通しの良さ,4.21
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,風通しの良さ,4.15
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,風通しの良さ,3.99
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,風通しの良さ,4.11
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2024,風通しの良さ,4.01
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2025,風通しの良さ,4.34
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,社員の相互尊重,2.97
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,社員の相互尊重,2.92
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,社員の相互尊重,2.86
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,社員の相互尊重,3
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,社員の相互尊重,3.09
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,社員の相互尊重,3.11
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,社員の相互尊重,2.99
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,社員の相互尊重,2.98
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2024,社員の相互尊重,2.88
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2025,社員の相互尊重,3
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2016,20代成長環境,4.4
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2017,20代成長環境,4.33
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2018,20代成長環境,4.3
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2019,20代成長環境,4.48
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2020,20代成長環境,4.63
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2021,20代成長環境,4.68
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2022,20代成長環境,4.73
2025/6/30,エムスリー,2413,TOPIX Mid400,a0910000000FqkQ,2023,20代成長環境,4.68
