date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,クチコミ総合評価,4.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,クチコミ総合評価,4.24
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,クチコミ総合評価,4.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,クチコミ総合評価,4.19
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,クチコミ総合評価,4.2
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,クチコミ総合評価,4.28
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,クチコミ総合評価,4.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,クチコミ総合評価,4.19
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,クチコミ総合評価,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,クチコミ総合評価,4.02
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,待遇面の満足度,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,待遇面の満足度,4.13
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,待遇面の満足度,4.13
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,待遇面の満足度,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,待遇面の満足度,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,待遇面の満足度,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,待遇面の満足度,4.03
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,待遇面の満足度,3.96
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,待遇面の満足度,3.76
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,待遇面の満足度,3.52
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,社員の士気,4.18
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,社員の士気,4.19
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,社員の士気,4.2
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,社員の士気,4.16
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,社員の士気,4.18
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,社員の士気,4.27
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,社員の士気,4.24
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,社員の士気,4.19
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,社員の士気,4.14
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,社員の士気,4.33
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,風通しの良さ,4.33
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,風通しの良さ,4.28
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,風通しの良さ,4.26
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,風通しの良さ,4.29
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,風通しの良さ,4.31
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,風通しの良さ,4.35
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,風通しの良さ,4.25
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,風通しの良さ,4.16
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,風通しの良さ,4.14
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,風通しの良さ,4.02
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,社員の相互尊重,4.35
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,社員の相互尊重,4.34
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,社員の相互尊重,4.32
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,社員の相互尊重,4.32
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,社員の相互尊重,4.37
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,社員の相互尊重,4.46
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,社員の相互尊重,4.39
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,社員の相互尊重,4.34
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,社員の相互尊重,4.27
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,社員の相互尊重,4.37
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,20代成長環境,4.41
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,20代成長環境,4.36
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,20代成長環境,4.35
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,20代成長環境,4.3
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,20代成長環境,4.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,20代成長環境,4.3
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,20代成長環境,4.21
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,20代成長環境,4.16
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,20代成長環境,4.09
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,20代成長環境,4.37
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,人材の長期育成,3.52
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,人材の長期育成,3.52
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,人材の長期育成,3.49
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,人材の長期育成,3.46
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,人材の長期育成,3.49
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,人材の長期育成,3.67
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,人材の長期育成,3.64
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,人材の長期育成,3.67
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,人材の長期育成,3.55
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,人材の長期育成,3.45
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,法令順守意識,3.38
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,法令順守意識,3.38
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,法令順守意識,3.38
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,法令順守意識,3.26
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,法令順守意識,3.25
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,法令順守意識,3.27
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,法令順守意識,3.24
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,法令順守意識,3.19
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,法令順守意識,3.08
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,法令順守意識,2.85
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,人事評価の適正感,3.55
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,人事評価の適正感,3.65
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,人事評価の適正感,3.65
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,人事評価の適正感,3.65
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,人事評価の適正感,3.64
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,人事評価の適正感,3.75
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,人事評価の適正感,3.78
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,人事評価の適正感,3.8
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,人事評価の適正感,3.73
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,人事評価の適正感,3.52
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,有給休暇消化率,36.69
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,有給休暇消化率,39.05
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,有給休暇消化率,42.49
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,有給休暇消化率,44.44
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,有給休暇消化率,46.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,有給休暇消化率,46.04
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,有給休暇消化率,47.95
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,有給休暇消化率,51.42
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,有給休暇消化率,49.44
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,有給休暇消化率,52
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2016,残業時間(月間),66.17
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2017,残業時間(月間),62.96
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2018,残業時間(月間),59.48
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2019,残業時間(月間),57.02
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2020,残業時間(月間),56.37
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2021,残業時間(月間),57.11
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2022,残業時間(月間),53.23
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2023,残業時間(月間),52.98
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2024,残業時間(月間),51.49
2025/6/30,博報堂ＤＹホールディングス,2433,TOPIX Mid400,a0910000000G25f,2025,残業時間(月間),56.92
