date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,クチコミ総合評価,3.62
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,クチコミ総合評価,3.62
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,クチコミ総合評価,3.7
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,クチコミ総合評価,3.75
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,クチコミ総合評価,3.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,クチコミ総合評価,3.94
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,クチコミ総合評価,3.91
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,クチコミ総合評価,3.95
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,クチコミ総合評価,3.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,クチコミ総合評価,4.02
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,待遇面の満足度,3.92
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,待遇面の満足度,3.92
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,待遇面の満足度,3.91
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,待遇面の満足度,3.93
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,待遇面の満足度,4.07
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,待遇面の満足度,4.11
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,待遇面の満足度,4
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,待遇面の満足度,4.06
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,待遇面の満足度,4.05
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,待遇面の満足度,4.28
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,社員の士気,3.03
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,社員の士気,3.03
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,社員の士気,3.16
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,社員の士気,3.15
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,社員の士気,3.37
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,社員の士気,3.35
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,社員の士気,3.41
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,社員の士気,3.48
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,社員の士気,3.58
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,社員の士気,3.72
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,風通しの良さ,3.44
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,風通しの良さ,3.43
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,風通しの良さ,3.48
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,風通しの良さ,3.55
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,風通しの良さ,3.76
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,風通しの良さ,3.71
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,風通しの良さ,3.71
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,風通しの良さ,3.77
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,風通しの良さ,3.83
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,風通しの良さ,3.72
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,社員の相互尊重,3.75
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,社員の相互尊重,3.8
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,社員の相互尊重,3.71
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,社員の相互尊重,3.8
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,社員の相互尊重,3.89
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,社員の相互尊重,3.78
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,社員の相互尊重,3.82
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,社員の相互尊重,3.89
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,社員の相互尊重,3.73
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,社員の相互尊重,3.82
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,20代成長環境,2.97
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,20代成長環境,2.97
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,20代成長環境,3.12
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,20代成長環境,3.23
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,20代成長環境,3.57
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,20代成長環境,3.51
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,20代成長環境,3.53
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,20代成長環境,3.48
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,20代成長環境,3.58
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,20代成長環境,3.61
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,人材の長期育成,3.18
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,人材の長期育成,3.16
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,人材の長期育成,3.3
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,人材の長期育成,3.31
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,人材の長期育成,3.47
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,人材の長期育成,3.43
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,人材の長期育成,3.28
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,人材の長期育成,3.23
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,人材の長期育成,3.18
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,人材の長期育成,3.38
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,法令順守意識,4.91
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,法令順守意識,4.92
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,法令順守意識,4.91
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,法令順守意識,4.95
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,法令順守意識,4.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,法令順守意識,4.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,法令順守意識,4.95
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,法令順守意識,4.94
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,法令順守意識,4.92
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,法令順守意識,4.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,人事評価の適正感,2.88
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,人事評価の適正感,2.87
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,人事評価の適正感,2.95
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,人事評価の適正感,2.96
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,人事評価の適正感,3.11
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,人事評価の適正感,3.18
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,人事評価の適正感,3.17
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,人事評価の適正感,3.27
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,人事評価の適正感,3.24
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,人事評価の適正感,3.13
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,有給休暇消化率,59.53
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,有給休暇消化率,60.16
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,有給休暇消化率,60.32
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,有給休暇消化率,61.19
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,有給休暇消化率,62.32
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,有給休暇消化率,62.12
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,有給休暇消化率,62.5
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,有給休暇消化率,63.04
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,有給休暇消化率,62.66
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,有給休暇消化率,65
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2016,残業時間(月間),29.81
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2017,残業時間(月間),30.24
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2018,残業時間(月間),29.44
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2019,残業時間(月間),30.67
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2020,残業時間(月間),31.06
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2021,残業時間(月間),30.23
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2022,残業時間(月間),29.91
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2023,残業時間(月間),27.75
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2024,残業時間(月間),28.44
2025/6/30,キリンホールディングス,2503,TOPIX Large70,a0C1000000kSQ7r,2025,残業時間(月間),25.33
