date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2016,クチコミ総合評価,3.52
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2017,クチコミ総合評価,3.48
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2018,クチコミ総合評価,3.42
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2019,クチコミ総合評価,3.49
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2020,クチコミ総合評価,3.53
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2021,クチコミ総合評価,3.42
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2022,クチコミ総合評価,3.71
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2023,クチコミ総合評価,3.71
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2024,クチコミ総合評価,3.51
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2025,クチコミ総合評価,3.66
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2016,待遇面の満足度,4.27
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2017,待遇面の満足度,4.32
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2018,待遇面の満足度,4.16
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2019,待遇面の満足度,4.35
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2020,待遇面の満足度,4.17
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2021,待遇面の満足度,4.08
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2022,待遇面の満足度,4.27
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2023,待遇面の満足度,4.04
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2024,待遇面の満足度,3.88
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2025,待遇面の満足度,4.78
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2016,社員の士気,3.49
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2017,社員の士気,3.44
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2018,社員の士気,3.28
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2019,社員の士気,3.33
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2020,社員の士気,3.43
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2021,社員の士気,3.13
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2022,社員の士気,3.54
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2023,社員の士気,3.61
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2024,社員の士気,3.32
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2025,社員の士気,3
2025/6/30,コカ・コーラ　ボトラーズジャパンホールディングス,2579,TOPIX Mid400,a0910000000GWZf,2016,風通しの良さ,3.56
