date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,クチコミ総合評価,4.58
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,クチコミ総合評価,4.57
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,クチコミ総合評価,4.55
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,クチコミ総合評価,4.53
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,クチコミ総合評価,4.5
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,クチコミ総合評価,4.48
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2022,クチコミ総合評価,4.47
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2023,クチコミ総合評価,4.41
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2024,クチコミ総合評価,4.23
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2025,クチコミ総合評価,4.36
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,待遇面の満足度,4.7
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,待遇面の満足度,4.64
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,待遇面の満足度,4.61
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,待遇面の満足度,4.59
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,待遇面の満足度,4.56
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,待遇面の満足度,4.59
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2022,待遇面の満足度,4.58
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2023,待遇面の満足度,4.5
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2024,待遇面の満足度,4.42
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2025,待遇面の満足度,4.5
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,社員の士気,4.49
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,社員の士気,4.49
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,社員の士気,4.47
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,社員の士気,4.46
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,社員の士気,4.45
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,社員の士気,4.47
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2022,社員の士気,4.39
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2023,社員の士気,4.24
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2024,社員の士気,4.19
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2025,社員の士気,4.33
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,風通しの良さ,4.22
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,風通しの良さ,4.25
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,風通しの良さ,4.25
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,風通しの良さ,4.23
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,風通しの良さ,4.23
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,風通しの良さ,4.17
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2022,風通しの良さ,4.21
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2023,風通しの良さ,4.14
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2024,風通しの良さ,4.05
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2025,風通しの良さ,4.04
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,社員の相互尊重,4.59
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,社員の相互尊重,4.59
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,社員の相互尊重,4.6
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,社員の相互尊重,4.6
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,社員の相互尊重,4.6
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,社員の相互尊重,4.6
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2022,社員の相互尊重,4.59
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2023,社員の相互尊重,4.62
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2024,社員の相互尊重,4.5
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2025,社員の相互尊重,4.64
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2016,20代成長環境,4.1
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2017,20代成長環境,4.03
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2018,20代成長環境,3.96
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2019,20代成長環境,3.9
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2020,20代成長環境,3.77
2025/6/30,サントリー食品インターナショナル,2587,TOPIX Mid400,a0910000000G7HQ,2021,20代成長環境,3.68
