date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,クチコミ総合評価,3.02
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,クチコミ総合評価,3.05
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2018,クチコミ総合評価,3.01
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2019,クチコミ総合評価,3.04
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2020,クチコミ総合評価,3.13
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2021,クチコミ総合評価,3.22
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2022,クチコミ総合評価,3.26
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2023,クチコミ総合評価,3.43
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2024,クチコミ総合評価,3.57
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2025,クチコミ総合評価,2.9
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,待遇面の満足度,3.29
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,待遇面の満足度,3.25
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2018,待遇面の満足度,3.18
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2019,待遇面の満足度,3.21
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2020,待遇面の満足度,3.24
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2021,待遇面の満足度,3.39
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2022,待遇面の満足度,3.48
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2023,待遇面の満足度,3.71
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2024,待遇面の満足度,3.78
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2025,待遇面の満足度,3
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,社員の士気,2.7
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,社員の士気,2.69
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2018,社員の士気,2.67
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2019,社員の士気,2.72
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2020,社員の士気,2.7
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2021,社員の士気,2.74
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2022,社員の士気,2.71
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2023,社員の士気,2.86
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2024,社員の士気,2.94
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2025,社員の士気,2.33
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,風通しの良さ,3.74
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,風通しの良さ,3.93
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2018,風通しの良さ,3.86
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2019,風通しの良さ,3.91
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2020,風通しの良さ,3.98
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2021,風通しの良さ,3.97
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2022,風通しの良さ,3.9
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2023,風通しの良さ,3.88
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2024,風通しの良さ,4.14
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2025,風通しの良さ,3.61
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,社員の相互尊重,2.96
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,社員の相互尊重,2.93
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2018,社員の相互尊重,2.87
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2019,社員の相互尊重,2.91
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2020,社員の相互尊重,2.98
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2021,社員の相互尊重,3.1
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2022,社員の相互尊重,3.17
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2023,社員の相互尊重,3.59
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2024,社員の相互尊重,3.68
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2025,社員の相互尊重,3
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2016,20代成長環境,2.7
2025/6/30,不二製油,2607,TOPIX Mid400,a0910000000Fqlx,2017,20代成長環境,2.72
