date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2016,クチコミ総合評価,2.79
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2017,クチコミ総合評価,2.76
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2018,クチコミ総合評価,2.82
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2019,クチコミ総合評価,2.81
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2020,クチコミ総合評価,2.89
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2021,クチコミ総合評価,2.92
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2022,クチコミ総合評価,2.86
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2023,クチコミ総合評価,2.92
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2024,クチコミ総合評価,3.01
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2025,クチコミ総合評価,2.25
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2016,待遇面の満足度,2.05
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2017,待遇面の満足度,1.99
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2018,待遇面の満足度,2.06
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2019,待遇面の満足度,2.1
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2020,待遇面の満足度,2.17
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2021,待遇面の満足度,2.19
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2022,待遇面の満足度,2.08
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2023,待遇面の満足度,2.04
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2024,待遇面の満足度,2
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2025,待遇面の満足度,1
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2016,社員の士気,3.05
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2017,社員の士気,2.98
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2018,社員の士気,2.99
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2019,社員の士気,2.95
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2020,社員の士気,3.07
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2021,社員の士気,3.06
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2022,社員の士気,2.93
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2023,社員の士気,2.91
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2024,社員の士気,3.08
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2025,社員の士気,2.75
2025/6/30,エービーシー・マート,2670,TOPIX Mid400,a0910000000FqmJ,2016,風通しの良さ,2.78
