date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,クチコミ総合評価,3.82
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,クチコミ総合評価,3.9
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,クチコミ総合評価,3.65
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,クチコミ総合評価,3.56
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,クチコミ総合評価,3.59
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,クチコミ総合評価,3.51
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,クチコミ総合評価,3.3
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,クチコミ総合評価,3.41
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,クチコミ総合評価,3.35
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,クチコミ総合評価,3.63
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,待遇面の満足度,4.5
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,待遇面の満足度,4.48
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,待遇面の満足度,4.46
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,待遇面の満足度,4.49
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,待遇面の満足度,4.69
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,待遇面の満足度,4.65
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,待遇面の満足度,4.34
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,待遇面の満足度,4.52
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,待遇面の満足度,4.31
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,待遇面の満足度,4.67
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,社員の士気,3.19
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,社員の士気,3.28
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,社員の士気,2.97
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,社員の士気,2.9
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,社員の士気,2.92
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,社員の士気,2.82
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,社員の士気,2.78
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,社員の士気,2.79
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,社員の士気,2.71
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,社員の士気,2.5
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,風通しの良さ,3.41
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,風通しの良さ,3.53
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,風通しの良さ,3.36
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,風通しの良さ,3.07
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,風通しの良さ,3.23
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,風通しの良さ,3.26
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,風通しの良さ,2.94
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,風通しの良さ,2.93
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,風通しの良さ,3
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,風通しの良さ,3.47
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,社員の相互尊重,3.95
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,社員の相互尊重,3.98
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,社員の相互尊重,3.88
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,社員の相互尊重,3.9
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,社員の相互尊重,3.9
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,社員の相互尊重,3.73
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,社員の相互尊重,3.52
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,社員の相互尊重,3.77
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,社員の相互尊重,3.77
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,社員の相互尊重,4.22
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,20代成長環境,3.28
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2017,20代成長環境,3.38
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2018,20代成長環境,3
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2019,20代成長環境,2.86
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2020,20代成長環境,2.92
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2021,20代成長環境,2.86
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2022,20代成長環境,2.67
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2023,20代成長環境,2.71
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2024,20代成長環境,2.71
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2025,20代成長環境,3
2025/6/30,キッコーマン,2801,TOPIX Mid400,a0910000000Fqnu,2016,人材の長期育成,3.14
