date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2016,クチコミ総合評価,3.35
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2017,クチコミ総合評価,3.32
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2018,クチコミ総合評価,3.27
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2019,クチコミ総合評価,3.3
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2020,クチコミ総合評価,3.37
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2021,クチコミ総合評価,3.36
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2022,クチコミ総合評価,3.4
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2023,クチコミ総合評価,3.37
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2024,クチコミ総合評価,3.37
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2025,クチコミ総合評価,3.74
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2016,待遇面の満足度,2.81
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2017,待遇面の満足度,2.76
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2018,待遇面の満足度,2.74
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2019,待遇面の満足度,2.8
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2020,待遇面の満足度,2.88
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2021,待遇面の満足度,2.85
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2022,待遇面の満足度,2.89
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2023,待遇面の満足度,2.78
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2024,待遇面の満足度,2.79
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2025,待遇面の満足度,3.22
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2016,社員の士気,2.92
2025/6/30,キユーピー,2809,TOPIX Mid400,a0910000000Fqnz,2017,社員の士気,2.85
