date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2016,クチコミ総合評価,3.51
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2017,クチコミ総合評価,3.69
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2018,クチコミ総合評価,3.85
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2019,クチコミ総合評価,3.86
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2020,クチコミ総合評価,4.02
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2021,クチコミ総合評価,4.05
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2022,クチコミ総合評価,3.95
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2023,クチコミ総合評価,3.95
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2024,クチコミ総合評価,4.01
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2025,クチコミ総合評価,2.8
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2016,待遇面の満足度,2.68
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2017,待遇面の満足度,2.87
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2018,待遇面の満足度,3.15
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2019,待遇面の満足度,3.13
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2020,待遇面の満足度,3.45
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2021,待遇面の満足度,3.66
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2022,待遇面の満足度,3.37
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2023,待遇面の満足度,3.37
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2024,待遇面の満足度,3.47
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2025,待遇面の満足度,3
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2016,社員の士気,3.26
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2017,社員の士気,3.38
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2018,社員の士気,3.57
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2019,社員の士気,3.65
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2020,社員の士気,3.75
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2021,社員の士気,3.81
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2022,社員の士気,3.89
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2023,社員の士気,3.89
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2024,社員の士気,3.91
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2025,社員の士気,3
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2016,風通しの良さ,3
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2017,風通しの良さ,3.26
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2018,風通しの良さ,3.57
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2019,風通しの良さ,3.53
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2020,風通しの良さ,3.47
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2021,風通しの良さ,3.81
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2022,風通しの良さ,3.73
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2023,風通しの良さ,3.73
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2024,風通しの良さ,3.71
2025/6/30,ハウス食品グループ本社,2810,TOPIX Mid400,a0C1000000kSODp,2025,風通しの良さ,4.39
