date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2016,クチコミ総合評価,2.85
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2017,クチコミ総合評価,2.84
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2018,クチコミ総合評価,2.81
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2019,クチコミ総合評価,2.74
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2020,クチコミ総合評価,2.68
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2021,クチコミ総合評価,2.72
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2022,クチコミ総合評価,2.68
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2023,クチコミ総合評価,2.62
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2024,クチコミ総合評価,2.86
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2025,クチコミ総合評価,2.56
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2016,待遇面の満足度,2.96
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2017,待遇面の満足度,3.05
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2018,待遇面の満足度,2.99
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2019,待遇面の満足度,2.89
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2020,待遇面の満足度,2.9
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2021,待遇面の満足度,3.1
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2022,待遇面の満足度,3.21
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2023,待遇面の満足度,3.66
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2024,待遇面の満足度,4.32
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2025,待遇面の満足度,4.5
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2016,社員の士気,2.64
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2017,社員の士気,2.57
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2018,社員の士気,2.55
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2019,社員の士気,2.5
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2020,社員の士気,2.43
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2021,社員の士気,2.38
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2022,社員の士気,2.46
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2023,社員の士気,2.45
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2024,社員の士気,2.5
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2025,社員の士気,1.5
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2016,風通しの良さ,2.76
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2017,風通しの良さ,2.7
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2018,風通しの良さ,2.69
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2019,風通しの良さ,2.64
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2020,風通しの良さ,2.57
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2021,風通しの良さ,2.5
2025/6/30,東洋水産,2875,TOPIX Mid400,a0910000000FqoG,2022,風通しの良さ,2.46
