date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,クチコミ総合評価,3.66
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,クチコミ総合評価,3.67
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,クチコミ総合評価,3.65
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,クチコミ総合評価,3.71
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,クチコミ総合評価,3.76
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,クチコミ総合評価,3.76
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2022,クチコミ総合評価,3.8
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2023,クチコミ総合評価,3.82
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2024,クチコミ総合評価,3.85
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2025,クチコミ総合評価,3.94
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,待遇面の満足度,4.45
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,待遇面の満足度,4.48
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,待遇面の満足度,4.44
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,待遇面の満足度,4.45
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,待遇面の満足度,4.49
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,待遇面の満足度,4.52
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2022,待遇面の満足度,4.53
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2023,待遇面の満足度,4.52
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2024,待遇面の満足度,4.57
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2025,待遇面の満足度,4.56
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,社員の士気,2.7
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,社員の士気,2.71
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,社員の士気,2.69
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,社員の士気,2.74
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,社員の士気,2.77
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,社員の士気,2.78
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2022,社員の士気,2.83
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2023,社員の士気,2.8
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2024,社員の士気,2.83
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2025,社員の士気,2.91
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,風通しの良さ,3.7
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,風通しの良さ,3.71
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,風通しの良さ,3.72
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,風通しの良さ,3.79
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,風通しの良さ,3.86
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,風通しの良さ,3.85
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2022,風通しの良さ,3.92
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2023,風通しの良さ,4
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2024,風通しの良さ,4.02
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2025,風通しの良さ,4.19
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,社員の相互尊重,3.77
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,社員の相互尊重,3.86
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,社員の相互尊重,3.81
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,社員の相互尊重,3.86
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,社員の相互尊重,3.95
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,社員の相互尊重,3.92
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2022,社員の相互尊重,3.94
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2023,社員の相互尊重,4.03
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2024,社員の相互尊重,4.13
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2025,社員の相互尊重,4.3
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2016,20代成長環境,2.71
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2017,20代成長環境,2.67
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2018,20代成長環境,2.66
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2019,20代成長環境,2.76
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2020,20代成長環境,2.79
2025/6/30,日本たばこ産業,2914,TOPIX Core30,a0910000000FqqJ,2021,20代成長環境,2.76
