date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2015,クチコミ総合評価,3.67
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2016,クチコミ総合評価,3.81
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2017,クチコミ総合評価,3.8
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2018,クチコミ総合評価,3.73
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2019,クチコミ総合評価,3.73
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2020,クチコミ総合評価,3.8
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2021,クチコミ総合評価,4.11
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2022,クチコミ総合評価,4.21
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2023,クチコミ総合評価,4.27
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2024,クチコミ総合評価,4.42
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2015,待遇面の満足度,4.3
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2016,待遇面の満足度,4.4
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2017,待遇面の満足度,4.39
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2018,待遇面の満足度,4.48
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2019,待遇面の満足度,4.48
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2020,待遇面の満足度,4.6
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2021,待遇面の満足度,4.88
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2022,待遇面の満足度,4.91
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2023,待遇面の満足度,4.92
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2024,待遇面の満足度,4.98
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2015,社員の士気,3.68
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2016,社員の士気,3.99
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2017,社員の士気,3.93
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2018,社員の士気,3.95
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2019,社員の士気,3.95
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2020,社員の士気,4.04
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2021,社員の士気,4.37
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2022,社員の士気,4.6
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2023,社員の士気,4.64
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2024,社員の士気,4.76
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2015,風通しの良さ,3.41
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2016,風通しの良さ,3.6
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2017,風通しの良さ,3.65
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2018,風通しの良さ,3.21
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2019,風通しの良さ,3.21
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2020,風通しの良さ,3.46
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2021,風通しの良さ,3.6
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2022,風通しの良さ,3.46
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2023,風通しの良さ,3.32
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2024,風通しの良さ,4.1
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2015,社員の相互尊重,2.46
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2016,社員の相互尊重,2.42
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2017,社員の相互尊重,2.37
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2018,社員の相互尊重,2.45
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2019,社員の相互尊重,2.45
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2020,社員の相互尊重,2.63
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2021,社員の相互尊重,2.89
2025/6/30,ヒューリック,3003,TOPIX Mid400,a0910000000G2B3,2022,社員の相互尊重,3.24
