date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2015,クチコミ総合評価,2.59
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2016,クチコミ総合評価,2.73
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2017,クチコミ総合評価,2.85
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2018,クチコミ総合評価,2.78
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2019,クチコミ総合評価,2.87
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2020,クチコミ総合評価,3.02
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2021,クチコミ総合評価,3.06
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2022,クチコミ総合評価,3.14
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2023,クチコミ総合評価,3.55
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2024,クチコミ総合評価,3.52
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2015,待遇面の満足度,1.84
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2016,待遇面の満足度,2.35
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2017,待遇面の満足度,2.44
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2018,待遇面の満足度,2.58
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2019,待遇面の満足度,2.63
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2020,待遇面の満足度,2.65
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2021,待遇面の満足度,2.48
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2022,待遇面の満足度,2.54
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2023,待遇面の満足度,2.77
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2024,待遇面の満足度,3
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2015,社員の士気,2.77
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2016,社員の士気,2.72
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2017,社員の士気,2.72
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2018,社員の士気,2.75
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2019,社員の士気,2.81
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2020,社員の士気,2.65
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2021,社員の士気,2.69
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2022,社員の士気,2.65
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2023,社員の士気,2.77
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2024,社員の士気,2.69
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2015,風通しの良さ,3.43
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2016,風通しの良さ,3
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2017,風通しの良さ,3
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2018,風通しの良さ,2.83
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2019,風通しの良さ,2.72
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2020,風通しの良さ,2.88
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2021,風通しの良さ,3
2025/6/30,神戸物産,3038,TOPIX Mid400,a0910000000Fqqu,2022,風通しの良さ,3.22
