date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,クチコミ総合評価,3.02
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,クチコミ総合評価,3.02
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,クチコミ総合評価,3.05
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,クチコミ総合評価,3.1
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,クチコミ総合評価,3.08
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,クチコミ総合評価,3.16
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,クチコミ総合評価,3.25
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,クチコミ総合評価,3.23
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,クチコミ総合評価,3.26
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,クチコミ総合評価,3.07
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,待遇面の満足度,2.52
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,待遇面の満足度,2.47
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,待遇面の満足度,2.5
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,待遇面の満足度,2.53
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,待遇面の満足度,2.53
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,待遇面の満足度,2.55
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,待遇面の満足度,2.56
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,待遇面の満足度,2.41
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,待遇面の満足度,2.56
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,待遇面の満足度,2.5
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,社員の士気,2.81
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,社員の士気,2.77
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,社員の士気,2.82
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,社員の士気,2.89
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,社員の士気,2.77
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,社員の士気,2.81
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,社員の士気,2.86
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,社員の士気,2.84
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,社員の士気,2.94
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,社員の士気,2.5
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,風通しの良さ,2.84
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,風通しの良さ,2.85
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,風通しの良さ,2.9
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,風通しの良さ,3.02
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,風通しの良さ,3.13
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,風通しの良さ,3.22
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,風通しの良さ,3.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,風通しの良さ,3.37
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,風通しの良さ,3.54
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,風通しの良さ,3.56
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,社員の相互尊重,3.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,社員の相互尊重,3.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,社員の相互尊重,3.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,社員の相互尊重,3.34
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,社員の相互尊重,3.26
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,社員の相互尊重,3.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,社員の相互尊重,3.68
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,社員の相互尊重,3.76
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,社員の相互尊重,3.59
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,社員の相互尊重,3.38
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,20代成長環境,2.94
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,20代成長環境,2.9
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,20代成長環境,2.92
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,20代成長環境,2.95
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,20代成長環境,2.83
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,20代成長環境,2.9
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,20代成長環境,2.91
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,20代成長環境,2.93
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,20代成長環境,2.88
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,20代成長環境,2.7
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,人材の長期育成,2.29
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,人材の長期育成,2.32
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,人材の長期育成,2.35
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,人材の長期育成,2.45
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,人材の長期育成,2.44
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,人材の長期育成,2.49
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,人材の長期育成,2.49
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,人材の長期育成,2.43
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,人材の長期育成,2.38
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,人材の長期育成,2.2
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,法令順守意識,4.27
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,法令順守意識,4.29
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,法令順守意識,4.34
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,法令順守意識,4.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,法令順守意識,4.4
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,法令順守意識,4.45
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,法令順守意識,4.5
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,法令順守意識,4.51
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2024,法令順守意識,4.64
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2025,法令順守意識,4.78
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2016,人事評価の適正感,2.67
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2017,人事評価の適正感,2.69
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2018,人事評価の適正感,2.74
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2019,人事評価の適正感,2.82
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2020,人事評価の適正感,2.89
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2021,人事評価の適正感,2.97
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2022,人事評価の適正感,2.99
2025/6/30,ビックカメラ,3048,TOPIX Mid400,a0910000000Fqr3,2023,人事評価の適正感,2.97
