date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,クチコミ総合評価,3.07
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,クチコミ総合評価,3.02
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,クチコミ総合評価,2.99
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,クチコミ総合評価,3.02
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,クチコミ総合評価,2.92
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,クチコミ総合評価,2.93
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,クチコミ総合評価,2.97
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,クチコミ総合評価,2.96
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,クチコミ総合評価,2.99
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,クチコミ総合評価,3.22
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,待遇面の満足度,2.63
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,待遇面の満足度,2.61
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,待遇面の満足度,2.55
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,待遇面の満足度,2.56
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,待遇面の満足度,2.52
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,待遇面の満足度,2.49
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,待遇面の満足度,2.63
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,待遇面の満足度,2.74
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,待遇面の満足度,2.94
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,待遇面の満足度,2.83
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,社員の士気,2.82
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,社員の士気,2.76
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,社員の士気,2.79
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,社員の士気,2.72
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,社員の士気,2.63
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,社員の士気,2.6
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,社員の士気,2.61
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,社員の士気,2.59
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,社員の士気,2.5
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,社員の士気,2.5
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,風通しの良さ,3.04
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,風通しの良さ,2.99
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,風通しの良さ,2.99
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,風通しの良さ,2.97
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,風通しの良さ,2.9
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,風通しの良さ,2.93
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,風通しの良さ,2.83
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,風通しの良さ,2.81
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,風通しの良さ,2.69
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,風通しの良さ,2.83
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,社員の相互尊重,3.18
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,社員の相互尊重,3.06
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,社員の相互尊重,3.03
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,社員の相互尊重,3.12
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,社員の相互尊重,2.89
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,社員の相互尊重,2.96
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,社員の相互尊重,3.05
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,社員の相互尊重,2.85
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,社員の相互尊重,2.81
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,社員の相互尊重,3.61
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,20代成長環境,2.58
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,20代成長環境,2.52
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,20代成長環境,2.48
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,20代成長環境,2.54
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,20代成長環境,2.43
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,20代成長環境,2.46
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,20代成長環境,2.54
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,20代成長環境,2.59
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,20代成長環境,2.63
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,20代成長環境,3
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,人材の長期育成,2.65
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,人材の長期育成,2.64
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,人材の長期育成,2.55
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,人材の長期育成,2.6
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,人材の長期育成,2.44
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,人材の長期育成,2.4
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,人材の長期育成,2.37
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,人材の長期育成,2.37
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,人材の長期育成,2.25
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,人材の長期育成,2.33
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,法令順守意識,4.64
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,法令順守意識,4.65
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,法令順守意識,4.69
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,法令順守意識,4.68
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,法令順守意識,4.67
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,法令順守意識,4.74
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,法令順守意識,4.73
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,法令順守意識,4.73
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,法令順守意識,4.72
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,法令順守意識,4.88
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,人事評価の適正感,2.71
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,人事評価の適正感,2.71
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,人事評価の適正感,2.68
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,人事評価の適正感,2.71
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,人事評価の適正感,2.65
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,人事評価の適正感,2.7
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,人事評価の適正感,2.78
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,人事評価の適正感,2.81
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,人事評価の適正感,3.12
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,人事評価の適正感,3.32
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,有給休暇消化率,63.25
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,有給休暇消化率,66.54
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,有給休暇消化率,66.04
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,有給休暇消化率,69.56
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,有給休暇消化率,74.13
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,有給休暇消化率,75.53
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,有給休暇消化率,73.54
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,有給休暇消化率,81.3
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,有給休暇消化率,79.69
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,有給休暇消化率,75.83
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2016,残業時間(月間),12.42
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2017,残業時間(月間),10.68
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2018,残業時間(月間),10.94
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2019,残業時間(月間),11.68
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2020,残業時間(月間),11.9
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2021,残業時間(月間),13.53
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2022,残業時間(月間),15.37
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2023,残業時間(月間),17.85
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2024,残業時間(月間),22.44
2025/6/30,Ｊ．フロント　リテイリング,3086,TOPIX Mid400,a0C1000000TD3kP,2025,残業時間(月間),36.67
