date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2016,クチコミ総合評価,2.94
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2017,クチコミ総合評価,2.91
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2018,クチコミ総合評価,2.94
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2019,クチコミ総合評価,2.93
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2020,クチコミ総合評価,2.95
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2021,クチコミ総合評価,2.91
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2022,クチコミ総合評価,2.93
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2023,クチコミ総合評価,2.91
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2024,クチコミ総合評価,2.97
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2025,クチコミ総合評価,3.16
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2016,待遇面の満足度,2.49
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2017,待遇面の満足度,2.5
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2018,待遇面の満足度,2.52
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2019,待遇面の満足度,2.49
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2020,待遇面の満足度,2.52
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2021,待遇面の満足度,2.53
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2022,待遇面の満足度,2.56
2025/6/30,マツキヨココカラ＆カンパニー,3088,TOPIX Mid400,a0C1000000lN4jg,2023,待遇面の満足度,2.55
