date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,クチコミ総合評価,3.39
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,クチコミ総合評価,3.44
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,クチコミ総合評価,3.49
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,クチコミ総合評価,3.51
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,クチコミ総合評価,3.56
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,クチコミ総合評価,3.66
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,クチコミ総合評価,3.67
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,クチコミ総合評価,3.81
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,クチコミ総合評価,3.75
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2025,クチコミ総合評価,3.56
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,待遇面の満足度,2.99
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,待遇面の満足度,3.11
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,待遇面の満足度,3.09
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,待遇面の満足度,3.21
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,待遇面の満足度,3.26
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,待遇面の満足度,3.41
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,待遇面の満足度,3.51
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,待遇面の満足度,3.62
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,待遇面の満足度,3.46
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2025,待遇面の満足度,3.36
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,社員の士気,3.12
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,社員の士気,3.17
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,社員の士気,3.21
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,社員の士気,3.25
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,社員の士気,3.17
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,社員の士気,3.25
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,社員の士気,3.31
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,社員の士気,3.49
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,社員の士気,3.37
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2025,社員の士気,2.8
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,風通しの良さ,4.3
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,風通しの良さ,4.24
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,風通しの良さ,4.25
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,風通しの良さ,4.27
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,風通しの良さ,4.37
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,風通しの良さ,4.5
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,風通しの良さ,4.44
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,風通しの良さ,4.57
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,風通しの良さ,4.56
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2025,風通しの良さ,4.28
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,社員の相互尊重,4.18
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,社員の相互尊重,4.13
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,社員の相互尊重,4.15
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,社員の相互尊重,4.06
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,社員の相互尊重,4.1
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,社員の相互尊重,4.25
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,社員の相互尊重,4.28
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,社員の相互尊重,4.45
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,社員の相互尊重,4.47
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2025,社員の相互尊重,4.5
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2016,20代成長環境,2.95
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2017,20代成長環境,2.92
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2018,20代成長環境,3.03
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2019,20代成長環境,2.9
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2020,20代成長環境,2.98
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2021,20代成長環境,2.98
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2022,20代成長環境,3.04
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2023,20代成長環境,3.09
2025/6/30,ＺＯＺＯ,3092,TOPIX Mid400,a0C3000000EWVPp,2024,20代成長環境,3.06
