date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2016,クチコミ総合評価,2.74
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2017,クチコミ総合評価,2.74
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2018,クチコミ総合評価,2.76
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2019,クチコミ総合評価,2.72
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2020,クチコミ総合評価,2.62
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2021,クチコミ総合評価,2.6
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2022,クチコミ総合評価,2.75
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2023,クチコミ総合評価,3.01
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2024,クチコミ総合評価,3.28
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2025,クチコミ総合評価,3.92
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2016,待遇面の満足度,2.76
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2017,待遇面の満足度,2.74
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2018,待遇面の満足度,2.86
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2019,待遇面の満足度,2.79
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2020,待遇面の満足度,2.72
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2021,待遇面の満足度,2.63
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2022,待遇面の満足度,2.7
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2023,待遇面の満足度,2.72
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2024,待遇面の満足度,3.46
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2025,待遇面の満足度,3.6
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2016,社員の士気,2.6
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2017,社員の士気,2.58
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2018,社員の士気,2.55
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2019,社員の士気,2.55
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2020,社員の士気,2.46
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2021,社員の士気,2.39
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2022,社員の士気,2.52
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2023,社員の士気,2.6
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2024,社員の士気,2.83
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2025,社員の士気,3.42
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2016,風通しの良さ,2.92
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2017,風通しの良さ,2.93
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2018,風通しの良さ,3.14
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2019,風通しの良さ,3
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2020,風通しの良さ,2.86
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2021,風通しの良さ,2.94
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2022,風通しの良さ,3.15
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2023,風通しの良さ,3.52
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2024,風通しの良さ,3
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2025,風通しの良さ,3.6
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2016,社員の相互尊重,2.72
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2017,社員の相互尊重,2.72
2025/6/30,ダイワボウホールディングス,3107,TOPIX Mid400,a0910000000Fqrd,2018,社員の相互尊重,2.76
