date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2016,クチコミ総合評価,3.92
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2017,クチコミ総合評価,3.99
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2018,クチコミ総合評価,4.05
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2019,クチコミ総合評価,4.07
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2020,クチコミ総合評価,4.18
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2021,クチコミ総合評価,4.18
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2022,クチコミ総合評価,4.33
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2023,クチコミ総合評価,4.4
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2024,クチコミ総合評価,4.44
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2025,クチコミ総合評価,4.01
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2016,待遇面の満足度,3.27
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2017,待遇面の満足度,3.38
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2018,待遇面の満足度,3.45
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2019,待遇面の満足度,3.37
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2020,待遇面の満足度,3.4
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2021,待遇面の満足度,3.45
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2022,待遇面の満足度,3.54
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2023,待遇面の満足度,3.63
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2024,待遇面の満足度,3.56
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2025,待遇面の満足度,3.08
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2016,社員の士気,3.8
2025/6/30,マクニカホールディングス,3132,TOPIX Mid400,a0910000000FrbJ,2017,社員の士気,3.91
