date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2016,クチコミ総合評価,2.9
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2017,クチコミ総合評価,2.9
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2018,クチコミ総合評価,2.88
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2019,クチコミ総合評価,2.96
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2020,クチコミ総合評価,2.97
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2021,クチコミ総合評価,2.98
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2022,クチコミ総合評価,3.08
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2023,クチコミ総合評価,3.13
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2024,クチコミ総合評価,3.12
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2025,クチコミ総合評価,3.1
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2016,待遇面の満足度,2.78
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2017,待遇面の満足度,2.8
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2018,待遇面の満足度,2.74
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2019,待遇面の満足度,2.84
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2020,待遇面の満足度,2.84
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2021,待遇面の満足度,2.91
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2022,待遇面の満足度,3.03
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2023,待遇面の満足度,3.05
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2024,待遇面の満足度,2.96
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2025,待遇面の満足度,2.89
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2016,社員の士気,2.6
2025/6/30,ウエルシアホールディングス,3141,TOPIX Mid400,a0910000000G0eu,2017,社員の士気,2.6
