date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,クチコミ総合評価,2.86
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,クチコミ総合評価,2.84
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,クチコミ総合評価,2.89
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,クチコミ総合評価,2.98
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,クチコミ総合評価,3.1
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,クチコミ総合評価,3.13
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,クチコミ総合評価,3.07
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2023,クチコミ総合評価,3.19
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2024,クチコミ総合評価,3.22
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2025,クチコミ総合評価,3.38
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,待遇面の満足度,2.75
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,待遇面の満足度,2.72
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,待遇面の満足度,2.78
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,待遇面の満足度,2.8
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,待遇面の満足度,2.73
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,待遇面の満足度,2.79
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,待遇面の満足度,2.71
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2023,待遇面の満足度,2.86
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2024,待遇面の満足度,3
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2025,待遇面の満足度,3.38
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,社員の士気,2.74
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,社員の士気,2.64
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,社員の士気,2.63
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,社員の士気,2.68
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,社員の士気,2.82
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,社員の士気,2.79
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,社員の士気,2.75
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2023,社員の士気,2.76
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2024,社員の士気,3
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2025,社員の士気,3.38
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,風通しの良さ,2.85
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,風通しの良さ,2.85
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,風通しの良さ,2.88
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,風通しの良さ,2.93
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,風通しの良さ,3.16
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,風通しの良さ,3.2
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,風通しの良さ,3.16
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2023,風通しの良さ,3.28
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2024,風通しの良さ,3.51
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2025,風通しの良さ,3.72
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,社員の相互尊重,3.15
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,社員の相互尊重,3.14
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,社員の相互尊重,3.27
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,社員の相互尊重,3.28
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,社員の相互尊重,3.57
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,社員の相互尊重,3.45
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,社員の相互尊重,3.47
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2023,社員の相互尊重,3.69
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2024,社員の相互尊重,3.81
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2025,社員の相互尊重,4.28
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2016,20代成長環境,2.85
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2017,20代成長環境,2.78
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2018,20代成長環境,2.77
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2019,20代成長環境,3.09
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2020,20代成長環境,3.08
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2021,20代成長環境,3.05
2025/6/30,すかいらーくホールディングス,3197,TOPIX Mid400,a0910000000Hrig,2022,20代成長環境,2.83
