date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2016,クチコミ総合評価,4.19
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2017,クチコミ総合評価,4.19
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2018,クチコミ総合評価,4.23
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2019,クチコミ総合評価,4.27
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2020,クチコミ総合評価,4.33
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2021,クチコミ総合評価,4.3
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2022,クチコミ総合評価,4.37
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2023,クチコミ総合評価,4.33
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2024,クチコミ総合評価,4.23
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2025,クチコミ総合評価,4.42
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2016,待遇面の満足度,4.38
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2017,待遇面の満足度,4.47
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2018,待遇面の満足度,4.5
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2019,待遇面の満足度,4.51
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2020,待遇面の満足度,4.53
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2021,待遇面の満足度,4.5
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2022,待遇面の満足度,4.59
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2023,待遇面の満足度,4.56
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2024,待遇面の満足度,4.5
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2025,待遇面の満足度,4.5
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2016,社員の士気,4.08
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2017,社員の士気,4.09
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2018,社員の士気,4.14
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2019,社員の士気,4.21
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2020,社員の士気,4.21
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2021,社員の士気,4.08
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2022,社員の士気,4.14
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2023,社員の士気,4.16
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2024,社員の士気,3.98
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2025,社員の士気,3.88
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2016,風通しの良さ,3.85
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2017,風通しの良さ,3.92
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2018,風通しの良さ,4.05
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2019,風通しの良さ,4.13
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2020,風通しの良さ,4.22
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2021,風通しの良さ,4.16
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2022,風通しの良さ,4.14
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2023,風通しの良さ,4.08
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2024,風通しの良さ,3.77
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2025,風通しの良さ,4.22
2025/6/30,野村不動産ホールディングス,3231,TOPIX Mid400,a0910000000G25F,2016,社員の相互尊重,3.77
