date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,クチコミ総合評価,4
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,クチコミ総合評価,4.09
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,クチコミ総合評価,4.24
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,クチコミ総合評価,4.18
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,クチコミ総合評価,4.31
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,クチコミ総合評価,4.35
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,クチコミ総合評価,4.35
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,クチコミ総合評価,4.42
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,クチコミ総合評価,4.48
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,クチコミ総合評価,4.49
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,待遇面の満足度,3.86
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,待遇面の満足度,3.98
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,待遇面の満足度,4.08
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,待遇面の満足度,4.1
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,待遇面の満足度,4.21
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,待遇面の満足度,4.23
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,待遇面の満足度,4.21
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,待遇面の満足度,4.18
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,待遇面の満足度,4.36
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,待遇面の満足度,4.34
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,社員の士気,3.71
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,社員の士気,3.8
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,社員の士気,3.8
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,社員の士気,3.59
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,社員の士気,3.73
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,社員の士気,3.87
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,社員の士気,3.98
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,社員の士気,4.16
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,社員の士気,4.04
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,社員の士気,4.22
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,風通しの良さ,4.09
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,風通しの良さ,4.19
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,風通しの良さ,4.34
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,風通しの良さ,4.28
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,風通しの良さ,4.42
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,風通しの良さ,4.5
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,風通しの良さ,4.44
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,風通しの良さ,4.46
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,風通しの良さ,4.5
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,風通しの良さ,4.63
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,社員の相互尊重,4.03
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,社員の相互尊重,4.17
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,社員の相互尊重,4.25
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,社員の相互尊重,4.14
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,社員の相互尊重,4.22
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,社員の相互尊重,4.2
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,社員の相互尊重,4.07
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,社員の相互尊重,4.19
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,社員の相互尊重,4.44
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,社員の相互尊重,3.98
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,20代成長環境,4.03
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,20代成長環境,3.96
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,20代成長環境,4.14
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,20代成長環境,4.28
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,20代成長環境,4.4
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,20代成長環境,4.47
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,20代成長環境,4.5
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,20代成長環境,4.6
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,20代成長環境,4.62
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,20代成長環境,4.91
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,人材の長期育成,3.19
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,人材の長期育成,3.32
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,人材の長期育成,3.58
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,人材の長期育成,3.61
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,人材の長期育成,3.56
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,人材の長期育成,3.54
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,人材の長期育成,3.52
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,人材の長期育成,3.69
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,人材の長期育成,3.78
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,人材の長期育成,3.77
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,法令順守意識,4.41
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,法令順守意識,4.53
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,法令順守意識,4.57
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,法令順守意識,4.48
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,法令順守意識,4.57
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,法令順守意識,4.6
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,法令順守意識,4.6
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,法令順守意識,4.6
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,法令順守意識,4.5
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,法令順守意識,4.17
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,人事評価の適正感,2.89
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,人事評価の適正感,2.95
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,人事評価の適正感,3.18
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,人事評価の適正感,3.04
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,人事評価の適正感,3.38
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,人事評価の適正感,3.45
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,人事評価の適正感,3.47
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,人事評価の適正感,3.51
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,人事評価の適正感,3.58
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,人事評価の適正感,3.98
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,有給休暇消化率,54.23
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,有給休暇消化率,57.27
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,有給休暇消化率,61.94
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,有給休暇消化率,64.56
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,有給休暇消化率,64.88
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,有給休暇消化率,66.05
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2022,有給休暇消化率,66.25
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2023,有給休暇消化率,67.93
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2024,有給休暇消化率,64.69
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2025,有給休暇消化率,66.43
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2016,残業時間(月間),29.1
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2017,残業時間(月間),29.29
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2018,残業時間(月間),29.69
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2019,残業時間(月間),29.18
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2020,残業時間(月間),30.08
2025/6/30,東急不動産ホールディングス,3289,TOPIX Mid400,a0910000000Frr5,2021,残業時間(月間),30.79
