date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2016,クチコミ総合評価,2.94
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2017,クチコミ総合評価,2.97
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2018,クチコミ総合評価,2.95
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2019,クチコミ総合評価,2.91
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2020,クチコミ総合評価,2.91
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2021,クチコミ総合評価,2.96
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2022,クチコミ総合評価,2.88
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2023,クチコミ総合評価,2.91
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2024,クチコミ総合評価,3.01
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2025,クチコミ総合評価,3.56
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2016,待遇面の満足度,2.93
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2017,待遇面の満足度,3.07
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2018,待遇面の満足度,3
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2019,待遇面の満足度,2.85
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2020,待遇面の満足度,2.89
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2021,待遇面の満足度,2.94
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2022,待遇面の満足度,2.75
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2023,待遇面の満足度,2.65
2025/6/30,飯田グループホールディングス,3291,TOPIX Mid400,a0C1000000IdRbs,2024,待遇面の満足度,2.7
