date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2016,クチコミ総合評価,3.51
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2017,クチコミ総合評価,3.26
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2018,クチコミ総合評価,3.23
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2019,クチコミ総合評価,2.94
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2020,クチコミ総合評価,2.94
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2021,クチコミ総合評価,2.98
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2022,クチコミ総合評価,3.03
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2023,クチコミ総合評価,2.93
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2024,クチコミ総合評価,2.95
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2025,クチコミ総合評価,2.52
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2016,待遇面の満足度,3.6
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2017,待遇面の満足度,3.34
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2018,待遇面の満足度,3.34
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2019,待遇面の満足度,2.89
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2020,待遇面の満足度,2.79
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2021,待遇面の満足度,2.8
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2022,待遇面の満足度,2.84
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2023,待遇面の満足度,2.89
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2024,待遇面の満足度,2.88
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2025,待遇面の満足度,2.51
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2016,社員の士気,3.16
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2017,社員の士気,2.91
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2018,社員の士気,2.82
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2019,社員の士気,2.67
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2020,社員の士気,2.79
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2021,社員の士気,2.74
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2022,社員の士気,2.67
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2023,社員の士気,2.56
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2024,社員の士気,2.63
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2025,社員の士気,2.51
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2016,風通しの良さ,3.46
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2017,風通しの良さ,3.34
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2018,風通しの良さ,3.34
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2019,風通しの良さ,2.95
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2020,風通しの良さ,2.93
2025/6/30,シップヘルスケアホールディングス,3360,TOPIX Mid400,a0910000000G1S6,2021,風通しの良さ,3
