date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,クチコミ総合評価,3.1
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,クチコミ総合評価,3.07
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,クチコミ総合評価,3.1
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,クチコミ総合評価,2.98
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,クチコミ総合評価,2.98
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,クチコミ総合評価,2.99
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,クチコミ総合評価,2.96
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,クチコミ総合評価,3.01
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,クチコミ総合評価,2.96
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,クチコミ総合評価,2.47
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,待遇面の満足度,2.84
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,待遇面の満足度,2.79
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,待遇面の満足度,2.78
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,待遇面の満足度,2.86
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,待遇面の満足度,2.92
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,待遇面の満足度,3.25
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,待遇面の満足度,3.33
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,待遇面の満足度,3.65
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,待遇面の満足度,3.42
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,待遇面の満足度,3.61
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,社員の士気,3
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,社員の士気,3
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,社員の士気,3
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,社員の士気,2.84
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,社員の士気,2.89
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,社員の士気,2.89
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,社員の士気,2.76
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,社員の士気,2.85
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,社員の士気,2.84
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,社員の士気,2.3
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,風通しの良さ,2.76
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,風通しの良さ,2.71
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,風通しの良さ,2.78
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,風通しの良さ,2.73
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,風通しの良さ,2.73
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,風通しの良さ,2.65
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,風通しの良さ,2.52
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,風通しの良さ,2.57
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,風通しの良さ,2.56
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,風通しの良さ,1.67
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,社員の相互尊重,3.45
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,社員の相互尊重,3.39
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,社員の相互尊重,3.33
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,社員の相互尊重,3.09
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,社員の相互尊重,3.08
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,社員の相互尊重,2.87
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,社員の相互尊重,2.78
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,社員の相互尊重,2.79
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,社員の相互尊重,3
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,社員の相互尊重,2.67
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,20代成長環境,2.82
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,20代成長環境,2.69
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,20代成長環境,2.64
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,20代成長環境,2.5
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,20代成長環境,2.5
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,20代成長環境,2.44
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,20代成長環境,2.32
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,20代成長環境,2.21
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,20代成長環境,2.08
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,20代成長環境,1.47
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,人材の長期育成,2.81
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,人材の長期育成,2.84
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,人材の長期育成,2.83
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,人材の長期育成,2.65
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,人材の長期育成,2.55
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,人材の長期育成,2.5
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,人材の長期育成,2.45
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,人材の長期育成,2.31
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,人材の長期育成,2.24
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,人材の長期育成,1.7
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,法令順守意識,3.98
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,法令順守意識,4.18
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,法令順守意識,4.4
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,法令順守意識,4.2
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,法令順守意識,4.1
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,法令順守意識,4.28
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,法令順守意識,4.36
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,法令順守意識,4.57
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,法令順守意識,4.33
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,法令順守意識,3.59
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,人事評価の適正感,2.64
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,人事評価の適正感,2.54
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,人事評価の適正感,2.65
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,人事評価の適正感,2.68
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,人事評価の適正感,2.77
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,人事評価の適正感,2.68
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,人事評価の適正感,2.74
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,人事評価の適正感,2.71
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,人事評価の適正感,2.78
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,人事評価の適正感,2.33
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,有給休暇消化率,47.8
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,有給休暇消化率,49.38
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,有給休暇消化率,54.57
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,有給休暇消化率,53.86
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,有給休暇消化率,60.19
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,有給休暇消化率,62.9
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,有給休暇消化率,61.52
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,有給休暇消化率,70.36
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,有給休暇消化率,50.56
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,有給休暇消化率,43.33
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2016,残業時間(月間),28.8
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2017,残業時間(月間),30
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2018,残業時間(月間),25.87
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2019,残業時間(月間),29.32
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2020,残業時間(月間),23.69
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2021,残業時間(月間),24.16
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2022,残業時間(月間),28.83
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2023,残業時間(月間),21.64
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2024,残業時間(月間),26.67
2025/6/30,セブン＆アイ・ホールディングス,3382,TOPIX Core30,a0910000000FqtC,2025,残業時間(月間),23.33
