date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2016,クチコミ総合評価,2.93
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2017,クチコミ総合評価,2.92
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2018,クチコミ総合評価,2.78
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2019,クチコミ総合評価,2.74
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2020,クチコミ総合評価,2.8
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2021,クチコミ総合評価,3.05
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2022,クチコミ総合評価,2.87
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2023,クチコミ総合評価,2.94
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2024,クチコミ総合評価,2.93
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2025,クチコミ総合評価,2.51
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2016,待遇面の満足度,2.78
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2017,待遇面の満足度,2.67
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2018,待遇面の満足度,2.6
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2019,待遇面の満足度,2.53
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2020,待遇面の満足度,2.62
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2021,待遇面の満足度,2.82
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2022,待遇面の満足度,2.87
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2023,待遇面の満足度,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2024,待遇面の満足度,3.28
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2025,待遇面の満足度,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2016,社員の士気,2.83
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2017,社員の士気,2.93
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2018,社員の士気,2.98
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2019,社員の士気,2.96
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2020,社員の士気,2.97
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2021,社員の士気,2.96
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2022,社員の士気,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2023,社員の士気,2.78
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2024,社員の士気,2.58
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2025,社員の士気,2.67
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2016,風通しの良さ,2.98
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2017,風通しの良さ,2.96
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2018,風通しの良さ,2.78
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2019,風通しの良さ,2.74
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2020,風通しの良さ,2.88
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2021,風通しの良さ,3.26
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2022,風通しの良さ,3.13
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2023,風通しの良さ,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2024,風通しの良さ,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2025,風通しの良さ,3
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2016,社員の相互尊重,2.96
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2017,社員の相互尊重,2.93
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2018,社員の相互尊重,2.8
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2019,社員の相互尊重,2.81
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2020,社員の相互尊重,2.91
2025/6/30,トリドールホールディングス,3397,TOPIX Mid400,a0910000000Fqv2,2021,社員の相互尊重,3.26
