date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,クチコミ総合評価,4.09
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,クチコミ総合評価,4.09
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,クチコミ総合評価,4.17
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,クチコミ総合評価,4.15
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,クチコミ総合評価,4.1
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,クチコミ総合評価,4.04
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,クチコミ総合評価,4.02
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,クチコミ総合評価,4.07
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,クチコミ総合評価,4.06
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,クチコミ総合評価,4.06
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,待遇面の満足度,4.31
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,待遇面の満足度,4.32
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,待遇面の満足度,4.39
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,待遇面の満足度,4.36
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,待遇面の満足度,4.33
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,待遇面の満足度,4.27
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,待遇面の満足度,4.23
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,待遇面の満足度,4.3
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,待遇面の満足度,4.34
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,待遇面の満足度,4.37
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,社員の士気,3.45
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,社員の士気,3.47
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,社員の士気,3.54
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,社員の士気,3.49
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,社員の士気,3.47
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,社員の士気,3.4
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,社員の士気,3.37
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,社員の士気,3.39
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,社員の士気,3.26
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,社員の士気,3.43
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,風通しの良さ,4.27
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,風通しの良さ,4.29
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,風通しの良さ,4.39
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,風通しの良さ,4.38
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,風通しの良さ,4.35
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,風通しの良さ,4.34
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,風通しの良さ,4.32
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,風通しの良さ,4.4
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,風通しの良さ,4.38
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,風通しの良さ,4.43
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,社員の相互尊重,3.81
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,社員の相互尊重,3.86
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,社員の相互尊重,3.88
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,社員の相互尊重,3.87
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,社員の相互尊重,3.88
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,社員の相互尊重,3.86
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,社員の相互尊重,3.88
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,社員の相互尊重,3.89
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,社員の相互尊重,3.97
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,社員の相互尊重,3.99
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,20代成長環境,3.66
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,20代成長環境,3.62
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,20代成長環境,3.66
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,20代成長環境,3.63
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,20代成長環境,3.52
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,20代成長環境,3.43
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,20代成長環境,3.43
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,20代成長環境,3.49
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,20代成長環境,3.47
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,20代成長環境,3.4
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,人材の長期育成,3.55
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,人材の長期育成,3.53
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,人材の長期育成,3.65
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,人材の長期育成,3.66
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,人材の長期育成,3.58
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,人材の長期育成,3.53
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,人材の長期育成,3.53
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,人材の長期育成,3.6
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,人材の長期育成,3.54
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,人材の長期育成,3.46
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,法令順守意識,4.71
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,法令順守意識,4.74
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,法令順守意識,4.76
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,法令順守意識,4.8
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,法令順守意識,4.78
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,法令順守意識,4.75
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,法令順守意識,4.75
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,法令順守意識,4.77
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,法令順守意識,4.8
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,法令順守意識,4.88
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,人事評価の適正感,3.2
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,人事評価の適正感,3.17
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,人事評価の適正感,3.28
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,人事評価の適正感,3.23
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,人事評価の適正感,3.18
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,人事評価の適正感,3.1
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,人事評価の適正感,3.08
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,人事評価の適正感,3.11
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,人事評価の適正感,3.15
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,人事評価の適正感,3.03
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,有給休暇消化率,68.1
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,有給休暇消化率,69.01
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,有給休暇消化率,70.28
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,有給休暇消化率,70.62
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,有給休暇消化率,71.99
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,有給休暇消化率,72.04
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,有給休暇消化率,72.29
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,有給休暇消化率,73.8
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,有給休暇消化率,74.85
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,有給休暇消化率,76.23
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2016,残業時間(月間),24.73
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2017,残業時間(月間),24.5
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2018,残業時間(月間),24.12
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2019,残業時間(月間),24.47
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2020,残業時間(月間),25.09
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2021,残業時間(月間),24.71
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2022,残業時間(月間),24.58
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2023,残業時間(月間),23.42
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2024,残業時間(月間),22.54
2025/6/30,旭化成,3407,TOPIX Large70,a0910000000FqvA,2025,残業時間(月間),21.84
