date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2015,クチコミ総合評価,2.87
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2016,クチコミ総合評価,3.02
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2017,クチコミ総合評価,2.94
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2018,クチコミ総合評価,2.84
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2019,クチコミ総合評価,2.9
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2020,クチコミ総合評価,2.77
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2021,クチコミ総合評価,2.95
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2022,クチコミ総合評価,2.91
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2023,クチコミ総合評価,2.99
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2024,クチコミ総合評価,3.34
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2015,待遇面の満足度,2.75
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2016,待遇面の満足度,2.86
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2017,待遇面の満足度,2.87
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2018,待遇面の満足度,2.71
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2019,待遇面の満足度,2.81
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2020,待遇面の満足度,2.8
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2021,待遇面の満足度,2.93
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2022,待遇面の満足度,2.86
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2023,待遇面の満足度,2.94
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2024,待遇面の満足度,3.64
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2015,社員の士気,2.5
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2016,社員の士気,2.64
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2017,社員の士気,2.56
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2018,社員の士気,2.5
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2019,社員の士気,2.69
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2020,社員の士気,2.6
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2021,社員の士気,2.79
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2022,社員の士気,2.79
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2023,社員の士気,2.81
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2024,社員の士気,3
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2015,風通しの良さ,2.75
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2016,風通しの良さ,2.86
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2017,風通しの良さ,2.75
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2018,風通しの良さ,2.79
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2019,風通しの良さ,3
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2020,風通しの良さ,3
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2021,風通しの良さ,2.93
2025/6/30,クスリのアオキホールディングス,3549,TOPIX Mid400,a0C1000000z17Xe,2022,風通しの良さ,2.93
