date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2016,クチコミ総合評価,3.05
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2017,クチコミ総合評価,3.16
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2018,クチコミ総合評価,3.26
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2019,クチコミ総合評価,3.33
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2020,クチコミ総合評価,3.43
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2021,クチコミ総合評価,3.32
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2022,クチコミ総合評価,3.3
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2023,クチコミ総合評価,3.35
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2024,クチコミ総合評価,3.33
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2025,クチコミ総合評価,3.41
2025/6/30,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,3563,TOPIX Mid400,a0910000000Fqnf,2016,待遇面の満足度,2.89
