date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,クチコミ総合評価,3.21
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,クチコミ総合評価,3.21
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,クチコミ総合評価,3.24
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,クチコミ総合評価,3.24
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,クチコミ総合評価,3.24
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,クチコミ総合評価,3.16
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,クチコミ総合評価,3.13
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,クチコミ総合評価,3.06
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,クチコミ総合評価,3.06
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,クチコミ総合評価,3.04
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,待遇面の満足度,2.61
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,待遇面の満足度,2.63
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,待遇面の満足度,2.64
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,待遇面の満足度,2.66
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,待遇面の満足度,2.63
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,待遇面の満足度,2.5
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,待遇面の満足度,2.46
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,待遇面の満足度,2.42
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,待遇面の満足度,2.24
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,待遇面の満足度,2.05
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,社員の士気,2.95
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,社員の士気,2.93
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,社員の士気,2.91
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,社員の士気,2.89
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,社員の士気,2.87
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,社員の士気,2.75
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,社員の士気,2.73
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,社員の士気,2.66
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,社員の士気,2.58
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,社員の士気,2.6
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,風通しの良さ,3.28
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,風通しの良さ,3.29
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,風通しの良さ,3.41
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,風通しの良さ,3.44
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,風通しの良さ,3.44
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,風通しの良さ,3.38
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,風通しの良さ,3.38
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,風通しの良さ,3.31
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,風通しの良さ,3.34
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,風通しの良さ,3.56
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,社員の相互尊重,3.69
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,社員の相互尊重,3.66
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,社員の相互尊重,3.72
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,社員の相互尊重,3.74
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,社員の相互尊重,3.82
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,社員の相互尊重,3.71
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,社員の相互尊重,3.66
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,社員の相互尊重,3.6
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,社員の相互尊重,3.72
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,社員の相互尊重,3.8
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,20代成長環境,2.64
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,20代成長環境,2.62
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,20代成長環境,2.56
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,20代成長環境,2.55
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,20代成長環境,2.54
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,20代成長環境,2.46
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,20代成長環境,2.48
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,20代成長環境,2.43
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,20代成長環境,2.5
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,20代成長環境,2.3
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,人材の長期育成,2.76
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,人材の長期育成,2.72
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,人材の長期育成,2.71
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,人材の長期育成,2.7
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,人材の長期育成,2.68
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,人材の長期育成,2.61
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,人材の長期育成,2.55
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,人材の長期育成,2.43
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,人材の長期育成,2.44
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,人材の長期育成,2.35
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,法令順守意識,4.67
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,法令順守意識,4.72
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2018,法令順守意識,4.74
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2019,法令順守意識,4.75
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2020,法令順守意識,4.77
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2021,法令順守意識,4.77
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2022,法令順守意識,4.76
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2023,法令順守意識,4.74
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2024,法令順守意識,4.73
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2025,法令順守意識,4.6
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2016,人事評価の適正感,2.52
2025/6/30,ワコールホールディングス,3591,TOPIX Mid400,a0910000000H7b2,2017,人事評価の適正感,2.57
