date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2016,クチコミ総合評価,3.36
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2017,クチコミ総合評価,3.42
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2018,クチコミ総合評価,3.53
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2019,クチコミ総合評価,3.63
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2020,クチコミ総合評価,3.78
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2021,クチコミ総合評価,3.82
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2022,クチコミ総合評価,3.79
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2023,クチコミ総合評価,3.88
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2024,クチコミ総合評価,3.94
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2025,クチコミ総合評価,4.18
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2016,待遇面の満足度,2.79
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2017,待遇面の満足度,2.84
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2018,待遇面の満足度,2.9
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2019,待遇面の満足度,2.97
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2020,待遇面の満足度,3.19
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2021,待遇面の満足度,3.17
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2022,待遇面の満足度,3.15
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2023,待遇面の満足度,3.21
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2024,待遇面の満足度,3.31
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2025,待遇面の満足度,3.42
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2016,社員の士気,2.76
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2017,社員の士気,2.8
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2018,社員の士気,2.9
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2019,社員の士気,2.95
2025/6/30,ＴＩＳ,3626,TOPIX Mid400,a0910000000Fs09,2020,社員の士気,2.98
