date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,クチコミ総合評価,3.1
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,クチコミ総合評価,3.1
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,クチコミ総合評価,3.08
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,クチコミ総合評価,3.07
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,クチコミ総合評価,3.13
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,クチコミ総合評価,3.21
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,クチコミ総合評価,3.24
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,クチコミ総合評価,3.42
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,クチコミ総合評価,3.48
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,クチコミ総合評価,3.73
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,待遇面の満足度,3.05
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,待遇面の満足度,3.02
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,待遇面の満足度,2.93
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,待遇面の満足度,2.91
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,待遇面の満足度,3.09
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,待遇面の満足度,3.36
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,待遇面の満足度,3.49
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,待遇面の満足度,3.67
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,待遇面の満足度,3.63
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,待遇面の満足度,3.61
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,社員の士気,2.69
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,社員の士気,2.7
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,社員の士気,2.64
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,社員の士気,2.64
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,社員の士気,2.76
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,社員の士気,2.81
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,社員の士気,2.72
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,社員の士気,2.91
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,社員の士気,2.9
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,社員の士気,2.67
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,風通しの良さ,2.81
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,風通しの良さ,2.83
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,風通しの良さ,2.88
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,風通しの良さ,2.86
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,風通しの良さ,2.81
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,風通しの良さ,2.87
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,風通しの良さ,2.87
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,風通しの良さ,2.89
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,風通しの良さ,2.93
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,風通しの良さ,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,社員の相互尊重,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,社員の相互尊重,3.02
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,社員の相互尊重,2.96
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,社員の相互尊重,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,社員の相互尊重,3.06
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,社員の相互尊重,3.12
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,社員の相互尊重,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,社員の相互尊重,2.96
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,社員の相互尊重,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,社員の相互尊重,3.22
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,20代成長環境,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,20代成長環境,2.99
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,20代成長環境,2.93
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,20代成長環境,2.92
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,20代成長環境,2.98
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2021,20代成長環境,3
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2022,20代成長環境,3.1
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2023,20代成長環境,3.41
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2024,20代成長環境,3.57
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2025,20代成長環境,3.96
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2016,人材の長期育成,2.65
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2017,人材の長期育成,2.66
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2018,人材の長期育成,2.71
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2019,人材の長期育成,2.73
2025/6/30,コーエーテクモホールディングス,3635,TOPIX Mid400,a0C1000000sizWy,2020,人材の長期育成,2.7
