date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2015,クチコミ総合評価,2.81
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2016,クチコミ総合評価,2.88
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2017,クチコミ総合評価,2.86
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2018,クチコミ総合評価,2.91
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2019,クチコミ総合評価,2.83
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2020,クチコミ総合評価,2.71
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2021,クチコミ総合評価,2.78
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2022,クチコミ総合評価,2.72
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2023,クチコミ総合評価,2.77
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2015,待遇面の満足度,2.89
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2016,待遇面の満足度,2.95
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2017,待遇面の満足度,2.95
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2018,待遇面の満足度,2.89
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2019,待遇面の満足度,2.94
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2020,待遇面の満足度,2.82
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2021,待遇面の満足度,2.8
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2022,待遇面の満足度,2.83
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2023,待遇面の満足度,3.28
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2015,社員の士気,2.41
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2016,社員の士気,2.46
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2017,社員の士気,2.44
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2018,社員の士気,2.39
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2019,社員の士気,2.31
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2020,社員の士気,2.32
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2021,社員の士気,2.5
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2022,社員の士気,2.33
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2023,社員の士気,2.29
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2015,風通しの良さ,3.31
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2016,風通しの良さ,3.37
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2017,風通しの良さ,3.31
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2018,風通しの良さ,3.4
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2019,風通しの良さ,3
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2020,風通しの良さ,2.82
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2021,風通しの良さ,3
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2022,風通しの良さ,2.89
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2023,風通しの良さ,2.71
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2015,社員の相互尊重,2.86
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2016,社員の相互尊重,2.93
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2017,社員の相互尊重,2.93
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2018,社員の相互尊重,3.05
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2019,社員の相互尊重,3.06
2025/6/30,ネクソン,3659,TOPIX Mid400,a0C3000000lsubP,2020,社員の相互尊重,2.91
