date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2016,クチコミ総合評価,2.97
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2017,クチコミ総合評価,3.19
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2018,クチコミ総合評価,3.2
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2019,クチコミ総合評価,3.29
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2020,クチコミ総合評価,3.41
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2021,クチコミ総合評価,3.41
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2022,クチコミ総合評価,3.6
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2023,クチコミ総合評価,3.7
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2024,クチコミ総合評価,3.69
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2025,クチコミ総合評価,3.78
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2016,待遇面の満足度,2.69
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2017,待遇面の満足度,2.85
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2018,待遇面の満足度,2.97
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2019,待遇面の満足度,3.04
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2020,待遇面の満足度,3.05
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2021,待遇面の満足度,2.99
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2022,待遇面の満足度,3.18
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2023,待遇面の満足度,3.27
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2024,待遇面の満足度,3.21
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2025,待遇面の満足度,3.35
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2016,社員の士気,3
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2017,社員の士気,3.21
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2018,社員の士気,3.08
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2019,社員の士気,3.07
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2020,社員の士気,3.16
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2021,社員の士気,3.18
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2022,社員の士気,3.42
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2023,社員の士気,3.5
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2024,社員の士気,3.57
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2025,社員の士気,3.83
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2016,風通しの良さ,3.18
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2017,風通しの良さ,3.3
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2018,風通しの良さ,3.3
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2019,風通しの良さ,3.36
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2020,風通しの良さ,3.47
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2021,風通しの良さ,3.49
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2022,風通しの良さ,3.61
2025/6/30,ＳＨＩＦＴ,3697,TOPIX Mid400,a0C1000000Y1NK2,2023,風通しの良さ,3.65
