date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,クチコミ総合評価,2.72
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,クチコミ総合評価,2.71
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,クチコミ総合評価,2.87
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,クチコミ総合評価,2.99
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,クチコミ総合評価,3.28
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,クチコミ総合評価,3.21
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2021,クチコミ総合評価,3.04
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2022,クチコミ総合評価,3.15
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2023,クチコミ総合評価,3.77
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2024,クチコミ総合評価,3.57
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,待遇面の満足度,2.44
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,待遇面の満足度,2.43
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,待遇面の満足度,2.62
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,待遇面の満足度,2.69
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,待遇面の満足度,2.92
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,待遇面の満足度,2.78
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2021,待遇面の満足度,2.5
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2022,待遇面の満足度,2.67
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2023,待遇面の満足度,3.47
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2024,待遇面の満足度,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,社員の士気,2.39
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,社員の士気,2.48
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,社員の士気,2.62
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,社員の士気,2.69
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,社員の士気,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,社員の士気,2.89
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2021,社員の士気,2.75
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2022,社員の士気,2.67
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2023,社員の士気,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2024,社員の士気,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,風通しの良さ,2.72
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,風通しの良さ,2.76
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,風通しの良さ,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,風通しの良さ,3.12
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,風通しの良さ,3.7
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,風通しの良さ,3.79
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2021,風通しの良さ,3.47
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2022,風通しの良さ,3.61
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2023,風通しの良さ,4.22
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2024,風通しの良さ,3.88
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,社員の相互尊重,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,社員の相互尊重,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,社員の相互尊重,3.19
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,社員の相互尊重,3.47
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,社員の相互尊重,3.7
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,社員の相互尊重,3.61
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2021,社員の相互尊重,3.47
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2022,社員の相互尊重,3.61
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2023,社員の相互尊重,4.22
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2024,社員の相互尊重,3.88
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2015,20代成長環境,2.67
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2016,20代成長環境,2.52
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2017,20代成長環境,2.67
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2018,20代成長環境,2.69
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2019,20代成長環境,3
2025/6/30,ガンホー・オンライン・エンターテイメント,3765,TOPIX Mid400,a0910000000Fqwm,2020,20代成長環境,2.89
