date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2016,クチコミ総合評価,3.39
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2017,クチコミ総合評価,3.5
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2018,クチコミ総合評価,3.68
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2019,クチコミ総合評価,3.79
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2020,クチコミ総合評価,3.9
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2021,クチコミ総合評価,3.82
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2022,クチコミ総合評価,3.73
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2023,クチコミ総合評価,3.73
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2024,クチコミ総合評価,3.57
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2025,クチコミ総合評価,3.91
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2016,待遇面の満足度,2.89
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2017,待遇面の満足度,2.98
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2018,待遇面の満足度,3.26
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2019,待遇面の満足度,3.48
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2020,待遇面の満足度,3.69
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2021,待遇面の満足度,3.77
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2022,待遇面の満足度,3.6
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2023,待遇面の満足度,3.37
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2024,待遇面の満足度,3.18
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2025,待遇面の満足度,4.19
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2016,社員の士気,3.81
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2017,社員の士気,3.77
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2018,社員の士気,3.71
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2019,社員の士気,3.96
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2020,社員の士気,3.91
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2021,社員の士気,3.73
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2022,社員の士気,3.59
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2023,社員の士気,3.61
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2024,社員の士気,3.72
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2025,社員の士気,3.72
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2016,風通しの良さ,3.22
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2017,風通しの良さ,3.27
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2018,風通しの良さ,3.36
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2019,風通しの良さ,3.23
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2020,風通しの良さ,3.21
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2021,風通しの良さ,3.06
2025/6/30,ＧＭＯペイメントゲートウェイ,3769,TOPIX Mid400,a0910000000Fqwq,2022,風通しの良さ,2.96
