date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,クチコミ総合評価,2.85
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,クチコミ総合評価,2.85
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,クチコミ総合評価,2.81
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,クチコミ総合評価,2.71
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,クチコミ総合評価,2.67
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,クチコミ総合評価,2.67
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,クチコミ総合評価,2.65
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,クチコミ総合評価,2.74
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,クチコミ総合評価,2.74
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,クチコミ総合評価,3.04
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,待遇面の満足度,2.81
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,待遇面の満足度,2.77
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,待遇面の満足度,2.67
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,待遇面の満足度,2.57
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,待遇面の満足度,2.26
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,待遇面の満足度,2.29
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,待遇面の満足度,2.24
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,待遇面の満足度,2.21
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,待遇面の満足度,2.27
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,待遇面の満足度,3
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,社員の士気,2.36
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,社員の士気,2.35
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,社員の士気,2.3
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,社員の士気,2.14
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,社員の士気,2.24
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,社員の士気,2.26
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,社員の士気,2.28
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,社員の士気,2.43
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,社員の士気,2.4
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,社員の士気,2.4
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,風通しの良さ,2.75
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,風通しの良さ,2.75
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,風通しの良さ,2.79
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,風通しの良さ,2.7
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,風通しの良さ,2.76
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,風通しの良さ,2.68
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,風通しの良さ,2.72
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,風通しの良さ,3
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,風通しの良さ,3
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,風通しの良さ,3.38
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,社員の相互尊重,3.04
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,社員の相互尊重,3.04
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,社員の相互尊重,3
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,社員の相互尊重,2.92
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,社員の相互尊重,2.88
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,社員の相互尊重,2.87
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,社員の相互尊重,2.8
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,社員の相互尊重,2.71
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,社員の相互尊重,2.73
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,社員の相互尊重,2.8
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,20代成長環境,2.23
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,20代成長環境,2.27
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,20代成長環境,2.28
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,20代成長環境,2.22
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,20代成長環境,2.12
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,20代成長環境,2.16
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,20代成長環境,2.08
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,20代成長環境,2.14
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,20代成長環境,2.13
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,20代成長環境,2.2
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,人材の長期育成,2.23
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2017,人材の長期育成,2.23
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2018,人材の長期育成,2.16
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2019,人材の長期育成,2
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2020,人材の長期育成,1.91
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2021,人材の長期育成,1.94
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2022,人材の長期育成,1.96
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2023,人材の長期育成,2.14
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2024,人材の長期育成,2.2
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2025,人材の長期育成,2.6
2025/6/30,王子ホールディングス,3861,TOPIX Mid400,a0C1000000kSONy,2016,法令順守意識,4.44
