date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2016,クチコミ総合評価,3.16
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2017,クチコミ総合評価,3.13
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2018,クチコミ総合評価,3.1
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2019,クチコミ総合評価,3.14
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2020,クチコミ総合評価,3.2
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2021,クチコミ総合評価,3.29
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2022,クチコミ総合評価,3.26
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2023,クチコミ総合評価,3.25
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2024,クチコミ総合評価,3.29
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2025,クチコミ総合評価,3.62
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2016,待遇面の満足度,3.93
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2017,待遇面の満足度,3.86
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2018,待遇面の満足度,3.86
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2019,待遇面の満足度,3.88
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2020,待遇面の満足度,3.95
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2021,待遇面の満足度,4.08
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2022,待遇面の満足度,4.12
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2023,待遇面の満足度,4.09
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2024,待遇面の満足度,4.22
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2025,待遇面の満足度,4.63
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2016,社員の士気,2.7
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2017,社員の士気,2.7
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2018,社員の士気,2.66
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2019,社員の士気,2.71
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2020,社員の士気,2.73
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2021,社員の士気,2.9
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2022,社員の士気,2.93
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2023,社員の士気,2.88
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2024,社員の士気,2.79
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2025,社員の士気,3
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2016,風通しの良さ,2.78
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2017,風通しの良さ,2.71
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2018,風通しの良さ,2.68
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2019,風通しの良さ,2.71
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2020,風通しの良さ,2.79
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2021,風通しの良さ,2.84
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2022,風通しの良さ,2.81
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2023,風通しの良さ,2.72
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2024,風通しの良さ,2.75
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2025,風通しの良さ,3.28
2025/6/30,レンゴー,3941,TOPIX Mid400,a0910000000FqyK,2016,社員の相互尊重,2.91
