date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2016,クチコミ総合評価,3.19
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2017,クチコミ総合評価,3.51
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2018,クチコミ総合評価,3.82
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2019,クチコミ総合評価,3.96
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2020,クチコミ総合評価,3.91
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2021,クチコミ総合評価,3.93
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2022,クチコミ総合評価,4.01
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2023,クチコミ総合評価,4.04
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2024,クチコミ総合評価,4.11
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2025,クチコミ総合評価,4.26
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2016,待遇面の満足度,2.68
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2017,待遇面の満足度,2.76
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2018,待遇面の満足度,2.86
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2019,待遇面の満足度,3.03
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2020,待遇面の満足度,2.82
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2021,待遇面の満足度,2.82
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2022,待遇面の満足度,2.9
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2023,待遇面の満足度,2.97
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2024,待遇面の満足度,2.98
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2025,待遇面の満足度,3.29
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2016,社員の士気,3.55
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2017,社員の士気,3.68
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2018,社員の士気,3.8
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2019,社員の士気,3.99
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2020,社員の士気,4.04
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2021,社員の士気,3.8
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2022,社員の士気,3.94
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2023,社員の士気,3.92
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2024,社員の士気,3.88
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2025,社員の士気,3.98
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2016,風通しの良さ,3.14
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2017,風通しの良さ,3.35
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2018,風通しの良さ,3.92
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2019,風通しの良さ,4.19
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2020,風通しの良さ,4.15
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2021,風通しの良さ,4.17
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2022,風通しの良さ,4.3
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2023,風通しの良さ,4.31
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2024,風通しの良さ,4.37
2025/6/30,マネーフォワード,3994,TOPIX Mid400,a0C1000000sgO47,2025,風通しの良さ,4.34
