date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2016,クチコミ総合評価,3.53
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2017,クチコミ総合評価,3.49
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2018,クチコミ総合評価,3.51
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2019,クチコミ総合評価,3.46
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2020,クチコミ総合評価,3.5
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2021,クチコミ総合評価,3.55
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2022,クチコミ総合評価,3.56
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2023,クチコミ総合評価,3.49
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2024,クチコミ総合評価,3.64
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2025,クチコミ総合評価,3.76
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2016,待遇面の満足度,4.03
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2017,待遇面の満足度,4
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2018,待遇面の満足度,4.01
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2019,待遇面の満足度,3.9
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2020,待遇面の満足度,3.89
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2021,待遇面の満足度,3.97
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2022,待遇面の満足度,3.94
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2023,待遇面の満足度,3.94
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2024,待遇面の満足度,3.94
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2025,待遇面の満足度,4.17
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2016,社員の士気,2.98
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2017,社員の士気,2.98
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2018,社員の士気,2.98
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2019,社員の士気,2.93
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2020,社員の士気,2.95
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2021,社員の士気,2.92
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2022,社員の士気,2.98
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2023,社員の士気,2.91
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2024,社員の士気,3.09
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2025,社員の士気,3.77
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2016,風通しの良さ,3.83
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2017,風通しの良さ,3.79
2025/6/30,日産化学,4021,TOPIX Mid400,a0910000000Fqye,2018,風通しの良さ,3.89
