date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2016,クチコミ総合評価,3.51
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2017,クチコミ総合評価,3.5
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2018,クチコミ総合評価,3.41
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2019,クチコミ総合評価,3.39
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2020,クチコミ総合評価,3.42
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2021,クチコミ総合評価,3.44
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2022,クチコミ総合評価,3.46
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2023,クチコミ総合評価,3.58
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2024,クチコミ総合評価,3.43
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2025,クチコミ総合評価,3.54
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2016,待遇面の満足度,4.16
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2017,待遇面の満足度,4.18
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2018,待遇面の満足度,4.1
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2019,待遇面の満足度,4.09
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2020,待遇面の満足度,4.13
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2021,待遇面の満足度,4.04
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2022,待遇面の満足度,3.99
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2023,待遇面の満足度,4.22
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2024,待遇面の満足度,4.1
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2025,待遇面の満足度,4.32
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2016,社員の士気,2.9
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2017,社員の士気,2.9
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2018,社員の士気,2.83
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2019,社員の士気,2.79
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2020,社員の士気,2.83
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2021,社員の士気,2.87
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2022,社員の士気,2.9
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2023,社員の士気,2.95
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2024,社員の士気,2.78
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2025,社員の士気,2.92
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2016,風通しの良さ,3.56
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2017,風通しの良さ,3.52
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2018,風通しの良さ,3.46
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2019,風通しの良さ,3.38
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2020,風通しの良さ,3.55
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2021,風通しの良さ,3.59
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2022,風通しの良さ,3.55
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2023,風通しの良さ,3.79
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2024,風通しの良さ,3.68
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2025,風通しの良さ,4
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2016,社員の相互尊重,3.63
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2017,社員の相互尊重,3.61
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2018,社員の相互尊重,3.54
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2019,社員の相互尊重,3.55
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2020,社員の相互尊重,3.43
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2021,社員の相互尊重,3.52
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2022,社員の相互尊重,3.58
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2023,社員の相互尊重,3.59
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2024,社員の相互尊重,3.52
2025/6/30,東ソー,4042,TOPIX Mid400,a0910000000Fqyo,2025,社員の相互尊重,3.16
