date,銘柄名,コード,ニューインデックス区分,企業コード,年,指標名,スコア
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2016,クチコミ総合評価,2.87
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2017,クチコミ総合評価,2.96
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2018,クチコミ総合評価,2.98
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2019,クチコミ総合評価,3.04
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2020,クチコミ総合評価,2.98
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2021,クチコミ総合評価,3.04
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2022,クチコミ総合評価,3.1
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2023,クチコミ総合評価,3.13
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2024,クチコミ総合評価,3.09
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2025,クチコミ総合評価,3.23
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2016,待遇面の満足度,2.86
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2017,待遇面の満足度,2.89
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2018,待遇面の満足度,2.92
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2019,待遇面の満足度,3
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2020,待遇面の満足度,2.92
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2021,待遇面の満足度,2.94
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2022,待遇面の満足度,2.95
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2023,待遇面の満足度,3.04
2025/6/30,イビデン,4062,TOPIX Mid400,a0910000000Fqyv,2024,待遇面の満足度,2.96
